rank,dataset_key,task_scope,evidence_domain,endpoint,assay_family,label_kind,rows,molecules,proteins,sources,integrated,molecule_split,scaffold_split,pilot_score,decision,limitations
1,default::default__herg__ic50__herg_functional__nm__continuous_exact,default,herg,IC50,herg_functional,continuous_exact,137,104,1,1,true,true,true,78,priority_pilot_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; narrow safety-relevant hERG functional domain; endpoint-specific IC50 task; both molecule and scaffold candidates materialized; source holdout impossible; cross-protein claim impossible
2,default::default__herg__ic50__herg_functional__binary_exact__blocker_le_10000nm__nonblocker_ge_30000nm,default,herg,IC50,herg_functional,categorical,120,91,1,1,true,true,true,63,secondary_candidate,integrated fixed-split corpus; classification endpoint has train-only support evidence; narrow safety-relevant hERG functional domain; endpoint-specific IC50 task; both molecule and scaffold candidates materialized; source holdout impossible; cross-protein claim impossible; train-only class imbalance exceeds 4:1
3,default::default__binding__ki__other_bioactivity__nm__continuous_exact,default,binding,Ki,other_bioactivity,continuous_exact,49818,10287,565,1,true,true,true,57,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; both molecule and scaffold candidates materialized; source holdout impossible
4,default::default__binding__kd__other_bioactivity__nm__continuous_exact,default,binding,Kd,other_bioactivity,continuous_exact,5458,3602,242,1,true,true,true,56,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; both molecule and scaffold candidates materialized; source holdout impossible
5,default::default__binding__ic50__binding__nm__continuous_exact,default,binding,IC50,binding,continuous_exact,1107075,664970,5395,1,true,true,false,55,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; endpoint-specific IC50 task; source holdout impossible
6,default::default__other__ic50__other_bioactivity__nm__continuous_exact,default,other,IC50,other_bioactivity,continuous_exact,129920,81068,1405,1,true,true,false,55,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; endpoint-specific IC50 task; source holdout impossible
7,default::default__binding__ec50__binding__nm__continuous_exact,default,binding,EC50,binding,continuous_exact,89725,61213,1314,1,true,true,false,47,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; source holdout impossible
8,default::default__binding__kd__binding__nm__continuous_exact,default,binding,Kd,binding,continuous_exact,62334,25573,3610,1,true,true,false,47,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; source holdout impossible
9,default::default__binding__ki__binding__nm__continuous_exact,default,binding,Ki,binding,continuous_exact,407926,205293,2608,1,true,true,false,47,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; source holdout impossible
10,default::default__other__ec50__other_bioactivity__nm__continuous_exact,default,other,EC50,other_bioactivity,continuous_exact,91936,58552,771,1,true,true,false,47,secondary_candidate,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; source holdout impossible
