"work_item","priority","related_systems","readiness","pre_hpc_gate"
"Parent/scaffold/source/temporal split suite","P0","all 15 systems","contract_ready","freeze immutable manifests and overlap reports"
"Morgan classical baseline ladder","P0","Karim_large_HTS; MaxQSARing","design_ready","pin RDKit exact patch and baseline configs"
"Open deep baseline","P0","hERGAT; Transformer_Morgan; hERG_MFFGNN","partially_blocked","repair test selection and acquire/define architecture artifacts"
"Extreme-imbalance and coverage benchmark","P0","XGB_ISE; HERGAI","partially_blocked","resolve code/license and preregister risk-coverage metrics"
"Quantitative IC50 benchmark","P0","hERGBoost; UQ4DD_censored","blocked_artifact","checksum hERGBoost artifacts and audit censoring cohort"
"CardioSafe v1.1 matched audit","P0","CardioSafe_v1_1","partially_ready","freeze v1.1 weights/features and complete parent/source overlap"
"Quality-tier model experiment","P1","local models plus common baseline ladder","design_ready","freeze one evaluation cohort across Q0/Q1/Q2"
"Automation and modality transfer matrix","P1","local models; HERGAI adjacent","design_ready","publish missingness and matched-space fixture"
"Docking/interaction feature increment","P1","HERGAI","needs_adapter","pin receptor/docking/ClassyPose/PLEC stack and license"
"Censored quantitative loss","P1","UQ4DD_censored","methodology_ready","pin commit/license and require adequate true bounds"
"Multi-ion-channel transfer","P1","MultiCTox; CToxPred2; CardioSafe_v1_1; MoE_Cardiotoxicity","partially_blocked","pin channel artifacts and keep endpoint heads separate"
"QT evidence bridge","P1","local clinical hierarchy","design_ready","freeze entity-dose-exposure-study schema; no hERG-label collapse"
"Cross-assay pretraining","P2","ActFound","needs_artifact_audit","pin weights/license/corpus and quantify pretraining overlap"
"Mechanistic interpretation panel","P2","best frozen model; HERGAI optional","deferred","freeze predictive model before attribution or physics ablations"
