source_id,source_class,raw_rows,unique_identity_or_structure,endpoint_semantics,quantitative_coverage,overlap_nonadditivity,rights_provenance,recommended_role,admission_status
PubChem_AID_720551,primary_assay_deposit,343909,"343666 CIDs with exact PubChem structure coverage; 342932 conflict-free conclusive binary CIDs","KCNH2 wild-type two-point thallium-flux categorical outcome at 0.369 and 1.840 uM; not IC50","concise export has no populated per-row potency","293718 CIDs/SIDs shared with HERGAI; repeated CIDs and 5 conflicts","official PubChem/NCGC deposit; retain depositor attribution; PubChem access does not transfer contributor rights","large weak-label pretraining backbone","admit after deterministic standardization; exclude conflicts/inconclusive"
Zenodo_8359714,secondary_curated_quantitative_release,22969,"22969 unique supplied InChIKeys and exact SMILES","continuous hERG pIC50 from mixed upstream sources","22969 numeric pIC50","includes 15624 ChEMBL development rows and other integrated sources; reconcile with local ChEMBL","CC BY 4.0; DOI 10.5281/zenodo.8359714; upstream measurement lineage still required","quantitative fine-tuning and calibration","separate quantitative task after overlap/provenance reconciliation"
ChEMBL_37_CHEMBL240,primary_curated_database_view,41078,"26254 nonnull InChIKeys; 4829 assays; 3494 documents","mixed IC50 inhibition Ki kinetics AC50 and other endpoints","19130 IC50 rows; 12008 exact positive nM/uM IC50 rows with SMILES across 9802 structures","contains literature BindingDB PubChem DrugMatrix and other source imports","CC BY-SA 3.0; preserve attribution and share-alike","provenance-rich endpoint/modality backbone","admit endpoint-by-endpoint; never pool all rows"
PubChem_AID_588834,primary_assay_deposit,5381,"4743 CIDs; 5363 rows with SMILES","human hERG FluxOR concentration-response qHTS with AC50 curve and QC evidence","AC50/fit fields preserved in full depositor export","overlaps Tox21 by 2992 CIDs and other public collections","official PubChem/NCGC deposit; retain depositor attribution","functional-flux auxiliary/validation task","admit separately from patch clamp and AID720551"
PubChem_AID_1671200_Tox21,primary_assay_deposit,9667,"7671 CIDs; 9524 rows with SMILES","replicated human hERG FluxOR II qHTS with curve and QC evidence","up to 51 replicate series in full export","shares 2992 CIDs with AID588834 and 1510 CIDs with AID720551; EPA is a mirror","official PubChem/Tox21 deposit; retain NCATS/Tox21 attribution","functional-flux auxiliary task","retain direct source; do not duplicate EPA mirror"
HERGAI,secondary_model_dataset,299927,"298402 unique exact SMILES","extremely imbalanced binary compilation","2340 numeric potency rows only","293718 shared SIDs/CIDs with AID720551 and all shared calls Inactive","pinned repository MIT file but README copyright language and upstream record lineage unresolved","crosswalk sensitivity analysis or secondary benchmark","do not concatenate with AID720551"
BindingDB_Q12809_API,primary_database_compact_api,18759,"14832 RDKit-valid structures","15753 IC50; 2847 Ki; 110 EC50; 49 Kd; modality/assay context incomplete","5437 censored values","13363 structures overlap local ChEMBL; 1469 standardized structures absent","BindingDB-curated CC BY 4.0 vs inherited ChEMBL CC BY-SA requires row-level provenance","delta discovery and audit","quarantine pending assay-rich curator/source-license export"
EPA_invitrodb_v4_3,processing_mirror_and_auxiliary,11030,"7959 DTXSIDs in audit extract","mixed Tox21 flux plus NVS/ERF binding/proxy endpoints","not homogeneous potency","9670 rows mirror Tox21 experiment; 1360 physical NVS/ERF rows outside that experiment","public agency source but measurement lineage and mirror status must remain explicit","audit/validation only","exclude from primary per user decision"
PubChem_AID_720553,primary_assay_deposit,342311,"mutant-channel inventory; structure count not admitted here","KCNH2 mutant construct assay","categorical/assay-specific","paired project biology but not equivalent wild type","official PubChem deposit","variant-aware future task","exclude from wild-type model"
TDC_hERG,benchmark_wrapper,655,"644 RDKit InChIKeys","binary benchmark label","none beyond binary","27.5 percent overlap with local ChEMBL; duplicate/conflicting labels","source-specific rights unresolved","frozen external audit","do not treat as additive training evidence"
TDC_hERG_Karim,benchmark_wrapper,13445,"13267 RDKit InChIKeys","binary threshold wrapper","none beyond binary","68.8 percent overlap with local ChEMBL; disagreement with TDC hERG","source-specific rights unresolved","frozen external audit","do not treat as additive training evidence"
Zenodo_5807719,secondary_quantitative_release,8879,"8877 RDKit structures","pIC50","8879 rows","8617 structures overlap later Zenodo8359714; only 260 absent","CC BY 4.0; published MD5 verified","legacy benchmark only","superseded by later release for primary use"
Zenodo_6334912,secondary_binary_union,7879,"7879 exact SMILES","unresolved 0/1 class direction and threshold","binary only","96.35 percent of structures recur in Zenodo8359714 development set","CC BY 4.0 but per-row lineage absent","provenance audit only","exclude until authoritative semantics are recovered"
ToxiMol_hERGCentral,benchmark_reference,60,"60 unique SMILES","no measured hERG label or potency","none","derivative reference subset","MIT repository snapshot; upstream evidence not supplied","image/reference benchmark","not training evidence"
Strict_hERG,derived_engineering_view,137,"104 molecules","exact functional IC50 task contract","137 exact rows","narrow derivative of larger ChEMBL evidence","inherits source obligations","pipeline smoke test only","exclude from requested large corpus"
