"model_id","priority_link","code_url","audited_commit","checkpoint","license","required_input","preprocessing","overlap_audit","adapter_needed","status","blocking_or_next_action"
"MaxQSARing","P1 adapter and matched comparator","https://github.com/iipharma/maxqsaring","c814249924ef553dffabe2ac5c8520c07ab59f3a","NR","MIT","SMILES plus task labels for training","repository molecule cleaning, scaffold/random split, large representation search","required against local parents and source lineages","local manifest/data-loader and frozen-feature-selection adapter","needs_adapter","pin environment and prohibit test-informed feature search"
"Transformer_Morgan","P0 architectural reproduction","NR","NR","NR","NR","canonical SMILES","Morgan-2048 plus task-trained tokenizer/Transformer; exact code preprocessing NR","required; pooled public-source overlap likely","clean-room architecture adapter","blocked_artifact","obtain official code/checkpoint or implement paper-faithful clean-room comparator"
"XGB_ISE","P0 imbalance/selective comparator","NR; web/service negotiation","NR","NR","article/data CC-BY-NC-ND; executable code license NR","fixed descriptor table or SMILES if descriptor pipeline recovered","4298 to 22 to 8 descriptors, 29 balanced learners, ISE mapping","required against Ogura/Karim lineage and local Q0","paper-faithful reimplementation plus risk-coverage adapter","blocked_license_code","obtain executable terms; otherwise reproduce only allowable algorithmic baseline"
"HERGAI","P1 physics/interaction adapter","https://github.com/vktrannguyen/HERGAI","NR","NR","MIT","SMILES and pinned WT hERG receptor/poses","docking, ClassyPose pose selection, PLEC extraction, stacked models","required against PubChem HTS lineage","containerized docking/PLEC and local manifest adapter","needs_adapter","pin repository commit, receptor, docking and ClassyPose versions"
"hERGBoost","P0 quantitative comparator","http://ssbio.cau.ac.kr/software/hergboost","NR","NR","NR","SMILES for continuous IC50 prediction","AlvaDesc/fingerprint schema and trained XGBoost; exact downloadable schema NR","required against ChEMBL/BindingDB/publication sources","quantitative input/output and relation-aware evaluation adapter","blocked_artifact","download/checksum data/model and establish redistribution/execution license"
"hERGAT","P0 open deep comparator","https://github.com/bmil-jnu/hERGAT","7a706ff084faffbd9782fa4075d3e099e62f6533","external Drive; checksum NR","repository license NR","canonical SMILES","paper/repository tokenization, graph and fingerprint preprocessing","required against ChEMBL/PubChem/literature pools","local frozen-split data loader and version reconciliation","needs_adapter","freeze Drive artifacts and choose paper versus current-repo version explicitly"
"hERG_MFFGNN","P1 repaired architecture","https://github.com/zhaoqi106/hERG-MFFGNN","bb8cca8d83811702ceb56675a928353948fb7674","NR","NR","SMILES","five fingerprints, descriptors, graph processing","required against benchmark and four external CSVs","replace test-aware training loop and local loader","unsafe_until_repaired","remove per-epoch test evaluation/best-test checkpointing before any benchmark"
"TDMFLSGAT","P1 repaired fusion adapter","https://github.com/BeidjaCheikh/TDMFLSGAT_data_and_code","b5019e06bca0a33b53cbe70e88a7cd350afd8df1","NR","NR","SMILES plus pIC50/label","BPE Transformer, fingerprints, GAT; generated feature files missing","required against ChEMBL-v29-derived workbook","portable paths, missing-feature regeneration, frozen-CV adapter","blocked_incomplete","recover exact features/test artifact and reconcile fixed split with paper CV"
"MultiCTox","P1 multichannel adapter","https://github.com/3505675604/MultiCTox","9c079268f5fd07a4132997c5c5f828b9e8a30005","NR","NR","SMILES and channel-specific pIC50/labels","SMILES embedding, graph, multiple fingerprints, pIC50>=5 labels","required against hERG-60/70 and channel datasets","portable path/environment and local multitask adapter","needs_adapter","pin dependencies, remove absolute paths, retain separate channel heads"
"CToxPred2","P1 semisupervised comparator","https://github.com/issararab/CToxPred","NR","NR","MIT reported; exact audited file NR","SMILES, labeled channel data, unlabeled ChEMBL","fingerprints/descriptors and semisupervised RF","required against hERG-60/70 and ChEMBL unlabeled corpus","local split/unlabeled-corpus adapter","needs_artifact_audit","pin exact CToxPred2 code/data/version and quantify corpus overlap"
"MoE_Cardiotoxicity","P2 endpoint-transfer adapter","https://github.com/EdoardoVigano/MoECardiotoxicity","NR","NR","NR","SMILES plus endpoint-specific labels","CDDD, descriptors, ChemBERTa, Morgan, expert heads","required per endpoint/source","local hERG-first multitask adapter","needs_artifact_audit","pin commit/license/checkpoint and prevent broad endpoints from redefining hERG"
"CardioSafe_v1_1","P0 scale/leakage benchmark","https://github.com/AppliedScientific/CardioSafe-benchmark","a481ffb2ea2e53acf944d2e2ad961162d02727db","weights available; exact checksum in local adapter NR","code MIT; data CC-BY-4.0; weights CC-BY-NC-4.0","SMILES plus multimodal cached features expected","fingerprints, 20 descriptors, ChemBERTa-384, predicted L1000-978","mandatory exact parent/source overlap and tan70/tan60 audit","training loader/cache reconstruction and inference adapter","partially_ready","freeze v1.1 artifacts and respect noncommercial weight license"
"Karim_large_HTS","P0 large-data baseline lineage","NR","NR","NR","NR","SMILES plus binary labels","fingerprints/descriptors/SMILES/graphs; exact pipeline NR","mandatory; strong shared HTS lineage expected","clean-room RF/SVM/XGB/DNN/GRU/GNN baseline adapter","blocked_artifact","obtain frozen data/code or use as paper-only reference"
"ActFound","P2 pretraining adapter","https://github.com/HFUT-ML/ActFound","NR","NR","NR","SMILES plus assay/task context","pairwise cross-assay meta-learning","mandatory pretraining-assay/source overlap audit","local few-shot fine-tuning adapter","methodology_only_until_audited","pin license/commit/model weights and exclude test-source exposure"
"UQ4DD_censored","P1 censored-loss adapter","https://github.com/MolecularAI/uq4dd","NR","NR","NR","features plus exact/left/right/interval target bounds","censored NLL or censored-MSE with uncertainty models","not a molecule-corpus comparator; validate no target-bound leakage","loss-function adapter to local quantitative models","methodology_only","pin commit/license and enable only if genuine censoring sample is adequate"
