source,source_grade,scope_or_endpoint,reported_or_observed_size,rights_status,overlap_or_semantics_risk,recommendation,official_url
"ChEMBL 37 / CHEMBL240","primary curated measurements","KCNH2/hERG mixed IC50, inhibition, Ki, kinetics and other endpoints","local bulk: 41,078 rows; 26,254 unique non-null Standard InChIKeys; 4,829 assays","CC BY-SA 3.0; preserve attribution and share-alike","mixed assay modalities, censoring and units; contains imported BindingDB, PubChem and other sources","ACQUIRE/RETAIN as principal provenance-rich source; build endpoint- and modality-specific views, never one pooled target","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL240"
"BindingDB direct","primary curated measurements plus imports","protein-small-molecule affinities including KCNH2/hERG","current database overall 3.2M measurements; local ChEMBL hERG view has 9,210 rows tagged BINDINGDB but only 1,855 unique Standard InChIKeys","BindingDB-curated records CC BY 4.0; ChEMBL-curated records remain CC BY-SA 3.0","very high ChEMBL overlap; binding values are not interchangeable with functional patch clamp","ACQUIRE DELTA ONLY, retaining curator/source-license field; exclude already present ChEMBL imports from novelty claims","https://www.bindingdb.org/"
"PubChem AID 588834 (NCATS/NCGC)","primary assay deposit","functional thallium-flux qHTS; AC50/curve/activity classes","assay-specific count should be pulled from PubChem PUG REST at acquisition time","public PubChem access; retain depositor and assay attribution; verify reuse terms in release manifest","surrogate fluorescence assay, not patch clamp; likely represented in ChEMBL and integrated collections","ACQUIRE as a separate qHTS modality with curve quality and assay identifier; do not call AC50 patch-clamp IC50","https://pubchem.ncbi.nlm.nih.gov/bioassay/588834"
"PubChem AID 1511/1680 project","primary assay deposit","screen for compounds that protect hERG from dofetilide block","AID 1511 is a primary-screen project member, not a standard blocker assay","public PubChem access; retain depositor and assay attribution","direction/biology differs: protective allosteric modulation in presence of dofetilide; false inclusion would invert semantics","EXCLUDE from blocker labels; retain only as a separately named mechanistic task","https://pubchem.ncbi.nlm.nih.gov/bioassay/1511"
"hERGCentral original","primary high-throughput electrophysiology repository","single-concentration 1 and 10 uM inhibition plus derived calls/raw traces","paper reports >300,000 compounds; integrated-paper source table reports 305,928 records / 303,351 compounds","dataset license not located; paper openness does not license the underlying database","huge single-dose negative class; archived/original site availability uncertain; mostly one record per compound","REFERENCE/ACQUIRE only after explicit rights and authoritative snapshot are resolved; keep dose-specific inhibition, never pseudo-IC50","https://pmc.ncbi.nlm.nih.gov/articles/PMC3232635/"
"Integrated hERG database (RIKEN, 2018)","secondary integration","ChEMBL v22, commercial GOSTAR, NCGC/PubChem and hERGCentral","329,243 assay records / 319,631 compounds; classifier view 9,890 inhibitors / 281,329 inactives","article CC BY; underlying data are mixed, including commercial GOSTAR and sources with separate terms","310,180 compounds had one assay record; modality disagreement and extreme class imbalance; site may be unavailable","REFERENCE-ONLY for counts/methodology unless a source-cleared subset is reconstructed independently","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199348"
"TDC hERG","benchmark wrapper","binary blocker benchmark","download observed 655 rows, 648 unique canonical SMILES, 451 positive / 204 negative; 3 canonical structures have conflicting labels","TDC page displays both 'License: Not Specified' and 'CC BY 4.0'; treat data rights as unresolved","7 duplicate rows; 27.5% of 644 RDKit InChIKeys overlap local ChEMBL; 77/458 shared keys disagree with TDC hERG Karim","USE only as a frozen external benchmark after deduplication and rights confirmation; not source-grade training truth","https://tdcommons.ai/single_pred_tasks/tox/"
"TDC hERG Karim","benchmark wrapper / secondary compilation","binary blocker threshold reported as <10 uM versus >=10 uM","download observed 13,445 rows; 13,445 unique canonical SMILES; 6,718 positive / 6,727 negative","TDC page license presentation is not source-specific; repository MIT license covers code, not inherited data","68.8% of 13,267 RDKit InChIKeys overlap local ChEMBL; source paper combines BindingDB, ChEMBL and literature","USE as a benchmark and reconciliation audit, not additive training data; recover source records before canonical ingestion","https://tdcommons.ai/single_pred_tasks/tox/"
"TDC hERGCentral","benchmark wrapper / secondary repackaging","percent inhibition at 1 uM and 10 uM plus derived binary label","TDC reports 306,893 drugs","license/source rights unresolved; TDC code license does not clear underlying hERGCentral data","likely near-total duplication of original hERGCentral; website threshold/sign wording requires raw verification","DO NOT DOWNLOAD/INGEST until license and sign convention are verified; source-grade acquisition is preferable","https://tdcommons.ai/single_pred_tasks/tox/"
"OCHEM","curation platform, record-level sources","user-contributed experimental hERG records and published models","no authoritative current hERG record/unique-molecule count verified in public documentation","no blanket data license found; access is controlled per record/user and every measurement requires a source","may reproduce ChEMBL/literature collections and derived labels; export semantics depend on basket filters","QUERY as discovery/index only; ingest only source-attributed, permission-compatible records with full conditions","https://ochem.eu/"
"CardioTox net / DeepHIT-derived set","secondary modeling compilation","binary hERG blocker/non-blocker","paper: 12,620 training molecules (6,643 blockers, 5,977 nonblockers) after resolving 30,000 input structures; TDC wrapper has 13,445 rows","code/data repository has no demonstrated source-by-source data-license reconciliation","derived from BindingDB, ChEMBL and literature; duplication and threshold normalization obscure original assays","BENCHMARK ONLY; do not count as 13,445 new experimental compounds","https://github.com/Abdulk084/CardioTox"
"HERGAI 2025","secondary model dataset","binary docking-informed hERG inhibitor prediction","paper/repository use roughly 300,000 molecules, dominated by hERGCentral-like negatives","repository MIT license does not automatically relicense inherited measurement data","derivative of large public hERG collections; extreme imbalance and likely overlap","BENCHMARK/model-comparison only unless every label is traced to a source-grade assay","https://github.com/vktrannguyen/HERGAI"
"FDA DILIrank 2.0","primary regulatory-label-derived safety annotation","drug-induced liver injury risk, not cardiac/hERG","1,336 FDA-approved drugs; 1.0 had 1,036","public FDA dataset; record acquisition URL/version and attribution","different organ endpoint; any overlap is drug-level covariate/confounding analysis, not hERG truth","ACQUIRE as an external clinical-safety annotation table; never pool with hERG labels","https://www.fda.gov/science-research/liver-toxicity-knowledge-base-ltkb/drug-induced-liver-injury-rank-dilirank-20-dataset"
"PhysioNet QT Database v1.0.0","primary ECG waveform benchmark","QT and waveform-boundary annotation","105 two-lead 15-minute ECG records","Open Data Commons Attribution 1.0","patient waveform/algorithm data have no molecule exposure labels; not a compound dataset","REFERENCE or separate ECG-method task only; do not join to molecules without a defensible exposure study","https://physionet.org/content/qtdb/1.0.0/"
"CredibleMeds QTdrugs","curated clinical risk reference","drug QT prolongation/TdP risk categories","dynamic registered list; count not treated as stable here","copyrighted; registration required; commercial/software embedding requires license","clinical TdP/QT risk is downstream and not equivalent to hERG block; dynamic categories","REFERENCE under permitted use; license before programmatic redistribution or software integration","https://www.crediblemeds.org/register"
