decision_id,decision,automatable_evidence_status,human_or_external_gate,current_disposition
release_inventory,Exact Git-visible release inventory and hygiene scan,completed,Human staged review required,blocked_human
repository_license,Code license candidate and ownership packet,completed,Institution and rights-holder approval required,blocked_human
content_license,Documentation and original-figure license packet,completed,Institution and rights-holder approval required,blocked_human
data_redistribution,Source-specific license and artifact-path separation,completed,Per-source legal approval required,blocked_human
artifact_storage,Content-addressed storage and retention design,completed,Storage owner and redistribution approval required,blocked_human
intended_task,Task selection requirements and provisional hERG CPU-pilot decision,completed_candidate_analysis,Scientific owner acceptance required,blocked_human
leakage_thresholds,Exact/exhaustive/sampled/not-run boundary and task-specific thresholds,completed_candidate_analysis,Scientific owner acceptance required,blocked_human
context_splits,Assay document and strict-temporal supplemental candidates,completed_candidate_analysis,Scientific owner acceptance and model-prespecification required,blocked_human
structure_metadata,Exact UniProt-to-PDB metadata coverage without coordinates,completed_candidate_analysis,Task-specific construct ligand quality and leakage policy required,pending_scientific
external_admission,Identity rights endpoint and outcome readiness analysis,completed_candidate_analysis,Scientific and legal admission required,blocked_human
clinical_results,ClinicalTrials.gov QT/QTc and PK candidate extraction with raw pointers,completed_candidate_analysis,Domain adjudication and intervention/group linkage required,pending_scientific
regulatory_records,Drugs@FDA relational record and anomaly normalization,completed_candidate_analysis,Ingredient identity curation and regulatory-context review required,pending_scientific
pkdb_public,Bounded official PK-DB metadata and access/right consistency audit,completed_fail_closed,Documented output access and record-level reuse-rights approval required,blocked_external
meeting_reference,RoseTTAFold All-Atom probable model identification,completed_literature_inference,Professor confirmation required before public attribution,pending_human_confirmation
model_checkpoint,Current model literature checkpoint and overlap review,completed_literature_review,Exact checkpoint hash terms and overlap approval required,blocked_human
compute_operations,Local measurements and HPC approval sheet,completed,Compute owner authorization required,blocked_human_hardware
external_validation,Validation-design requirements,documented,Independent dataset or prospective study required,blocked_external
substantive_training,Training command and launch,prohibited,All preceding gates plus explicit authorization required,not_authorized
