result_id,claim,value,unit,source,calculation,caveat
R01,V9 honest nested stack MAE,0.432760753275872,pIC50,V9 model_metrics + replay,"mean absolute error over 18,801 nested OOF rows",Internal scaffold-held-out; not external
R02,V9 improvement vs V8,-0.01137421446624167,pIC50 MAE,V9 paired comparisons + independent replay,"paired row error, scaffold-cluster bootstrap",Negative favors V9
R03,V9 vs V8 95% CI lower,-0.01410418537210299,pIC50 MAE,paired_scaffold_bootstrap_recheck.csv,"10,000 scaffold bootstraps",Internal uncertainty
R04,V9 vs V8 95% CI upper,-0.00864120345377412,pIC50 MAE,paired_scaffold_bootstrap_recheck.csv,"10,000 scaffold bootstraps",Internal uncertainty
R05,Within 0.5 pIC50,0.6983671081325461,fraction,core_model_metrics.csv,absolute error <=0.5,Not a clinical endpoint
R06,Within 1.0 pIC50,0.9177703313653529,fraction,core_model_metrics.csv,absolute error <=1.0,Not a clinical endpoint
R07,90% interval empirical coverage,0.9129301632891867,fraction,nested_oof_predictions.parquet,observed within cross-fitted lower/upper interval,Internal calibration
R08,Unflagged-domain MAE,0.3790425562093385,pIC50,V9 subgroup_report.parquet,MAE where abstention flag is false,Flag was label-blind
R09,MMP coverage,0.41737141641402054,fraction,mmp_analog_assisted_predictions.parquet,structures with train-only MMP analog support,"Level prediction, not causal delta proof"
R10,Exact training observations,27728.0,observations,herg_training_observations.parquet,exact standardized train observations,"27,728 collapse to 18,801 structures"
R11,Exact training structures,18801.0,structures,V9 nested OOF + observation replay,unique train structures,"WT-or-unspecified, not confirmed WT"
R12,Scaffold groups,8455.0,scaffolds,V9 nested OOF,unique frozen scaffold groups,No scaffold crosses folds
R13,Flagged extrapolation-domain MAE,0.5595852489243717,pIC50,domain_flag_performance.csv,MAE where the label-blind abstention flag is true,Internal applicability-domain diagnostic
R14,Interval-width MAE spread,0.0035161268944134405,pIC50,risk_coverage.csv,maximum minus minimum MAE across retained fractions,Small spread means interval width alone weakly ranks errors
R15,Safety-selected minus accuracy-selected global MAE,0.011004531959321495,pIC50,V7 safety-vs-accuracy scaffold bootstrap,paired scaffold bootstrap over identical held-out structures,Positive means the safety-selected objective worsened global MAE
R16,Safety-selected reduction in tail MAE,0.07109734945112889,pIC50,safety_objective_tradeoff.csv,accuracy-track tail MAE minus safety-track tail MAE,Tail gain trades off against global accuracy
