rank,focus,unit,verified_scale,current_readiness,first_model_role,primary_reason,hard_blocker,selection_scope
1,Exact binding Kd,experimental measurement rows,"62,334 rows; 25,573 molecules; 3,610 proteins",mechanically_integrated_scientific_training_conditional,controlled endpoint-semantics CPU pilot,"Most direct equilibrium endpoint semantics; supports a separately labeled standard-free-energy transformation; manageable size",Professor authorization; log-scale endpoint contract; claim-specific exhaustive leakage audit; assay-quality review; one-source and long-tail target limitations,top_10_selected_workstreams_not_exhaustive
2,Exact binding Ki,experimental measurement rows,"407,926 rows; 205,293 molecules; 2,608 proteins",mechanically_integrated_scientific_training_conditional,first powered protein-molecule affinity benchmark,"Much larger and better-supported across targets than Kd while retaining clearer endpoint meaning than IC50",Same governance gates; protein-aware model required; one-source limitation; direct-versus-derived Ki review,top_10_selected_workstreams_not_exhaustive
3,Exact binding IC50,experimental measurement rows,"1,107,075 rows; 664,970 molecules; 5,395 proteins",mechanically_integrated_scientific_training_conditional,separate million-row potency benchmark,"Largest immediately integrated exact task",Assay/context heterogeneity; IC50 is not Kd/Ki; protein-aware model and stricter stratification required,top_10_selected_workstreams_not_exhaustive
4,Strict canonical hERG IC50,experimental measurement rows,"137 rows; 104 molecules; 1 protein",mechanically_integrated_scientific_training_conditional,engineering smoke only,"Already has molecule/scaffold split candidates and is safety-relevant",Scientifically underpowered; one source; cannot support broad hERG/QT/clinical claims,top_10_selected_workstreams_not_exhaustive
5,Expanded hERG by assay modality,raw candidate rows,"773,908 wild-type/standard plus 342,311 mutant physical rows; planning estimate 300,000-350,000 unique structures",raw_quarantined,future safety task family,"Large candidate inventory with a valuable single-target use case",Cross-source mirrors; severe class imbalance; assay modality and mutant/wild-type separation; rights and canonical admission,top_10_selected_workstreams_not_exhaustive
6,PRISM drug-cell viability,observed matrix values,"8,506,400 observed values; 93.792% matrix coverage",acquired_verified,first adjacent multimodal response model,"Large local matrix with clear cell-context utility and modest storage relative to imaging",Compound/sample/dose identity harmonization; cell-line leakage; screen-phase separation,top_10_selected_workstreams_not_exhaustive
7,Upstream ADME endpoints,raw physical rows,"274,168 non-deduplicated rows",raw_candidate,separate endpoint models,"Directly useful for solubility/permeability/metabolism screens and more feasible than clinical PK",Endpoint-specific canonicalization; source deduplication; species/matrix/assay contracts; must not be called systemic PK,top_10_selected_workstreams_not_exhaustive
8,DailyMed systemic PK extraction,versioned evidence sections,"43,162 candidate sections; 29,664 Tier-A machine-detected sections; 0 admitted measurements",evidence_index_only,data curation before modeling,"Large versioned regulatory-label evidence queue with exact document/version provenance; approval linkage and values remain unverified",Value-context linking; ingredient-to-structure resolution; human adjudication; current training labels are zero,top_10_selected_workstreams_not_exhaustive
9,LINCS L1000,profile-gene matrix positions,"1,665,114 profiles; 591,697 signatures; 1,628,481,492 measured profile-gene positions",acquired_verified,HPC-era representation learning,"Very large mechanism-of-action and cell-state modality",Replicate/signature semantics; compound/cell/time/dose harmonization; compute and storage design,top_10_selected_workstreams_not_exhaustive
10,JUMP Cell Painting,segmented cells and images,"about 1,539,797,273 cells; 58,267,491 TIFFs; 358.4 TB remote payload",metadata_verified_remote_payload,HPC-era morphology encoder,"Understudied mechanistic morphology at enormous scale",Object storage; image ingestion; batch correction; perturbation identity; HPC,top_10_selected_workstreams_not_exhaustive
