table,field_name,definition,dtype,unit,allowed_values,missing_convention,origin,source_lineage,roles,expected_range,transformation,leakage_class
assays,assay_family,Conservative normalized assay family.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source assay metadata,grouping_variable,source-defined or controlled vocabulary,"conservative rule mapping from endpoint, assay type, format and description",metadata
assays,assay_format,Source assay format/BAO label.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,assay_id,Stable source assay/protocol identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source assay record,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and source assay identity,metadata
assays,assay_type,Source assay type code/name.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,cell_system,Explicit cell system only.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,construct_id,Exact construct identity when reported.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source-reported construct,identifier,source-defined or controlled vocabulary,versioned SHA-256 over protein identity and exact sequence/construct annotation,metadata
assays,description,Unmodified or whitespace-normalized assay description.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,matrix,Explicit experimental matrix only.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,organism,Assay/target organism.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,ph,Explicit assay pH.,float,unitless pH,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,"0..14 conventional assay QC range; values outside are flagged, not silently removed",none,metadata
assays,protein_id,Resolved protein/complex identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source target assertion and explicit accession mapping,identifier,source-defined or controlled vocabulary,versioned SHA-256 over accession-aware protein or complex identity,metadata
assays,protocol_completeness,Fraction of declared core protocol fields reported.,float,fraction,,blank/NA means not reported or not applicable; never imputed,calculated,source assay metadata,grouping_variable,0..1,reported core protocol fields divided by declared core protocol fields,metadata
assays,protocol_missing_fields,Semicolon-delimited absent core fields.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source assay metadata,grouping_variable,source-defined or controlled vocabulary,sorted semicolon join of absent declared protocol fields,metadata
assays,route,Explicit administration route only.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,metadata
assays,snapshot_id,Snapshot identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
assays,source_assay_id,Unmodified source assay identifier.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
assays,source_id,Source identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
assays,temperature_c,Explicit assay temperature in degrees C.,float,degrees Celsius,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,>= -273.15 when reported,none,metadata
molecule_aliases,compound_name,Source-reported compound name.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
molecule_aliases,molecule_alias_id,Stable source-assertion alias identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,molecule source assertion,identifier,source-defined or controlled vocabulary,"versioned SHA-256 over source, source compound and record identifiers",metadata
molecule_aliases,molecule_id,Resolved canonical molecule identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,molecule source assertion(s),identifier,source-defined or controlled vocabulary,versioned SHA-256 over standard InChIKey or standardized structure namespace,metadata
molecule_aliases,resolution_method,Exact identifier/structure rule used.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
molecule_aliases,resolution_status,"resolved, unresolved, or conflicting.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
molecule_aliases,snapshot_id,Snapshot providing the alias.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
molecule_aliases,source_compound_id,Unmodified source compound identifier.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
molecule_aliases,source_id,Source providing the alias.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
molecule_aliases,source_record_id,Traceable source assertion identifier.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
molecule_aliases,submitted_inchi_key,Unmodified source InChIKey.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
molecule_aliases,submitted_smiles,Unmodified source structure text.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
molecules,canonical_smiles,RDKit-cleaned isomeric canonical representation.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,submitted_smiles,feature_candidate,source-defined or controlled vocabulary,RDKit cleanup plus canonical isomeric SMILES serialization,metadata
molecules,formal_charge,Formal charge after configured standardization.,integer,elementary-charge units,,blank/NA means not reported or not applicable; never imputed,calculated,standardized_smiles,feature_candidate,integer; chemically plausible range is QC-reviewed,sum of RDKit atom formal charges after standardization,metadata
molecules,fragment_count,Submitted fragment count.,integer,count,,blank/NA means not reported or not applicable; never imputed,calculated,submitted_smiles,feature_candidate,integer >= 1 when a structure parses,RDKit disconnected-fragment count before parent selection,metadata
molecules,full_structure_id,Versioned submitted/full structure identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,submitted molecular structure,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over cleaned full submitted structure,metadata
molecules,identity_resolution_status,"resolved, unresolved, or conflicting.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
molecules,molecule_id,Stable standardized-parent molecule identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,molecule source assertion(s),identifier,source-defined or controlled vocabulary,versioned SHA-256 over standard InChIKey or standardized structure namespace,metadata
molecules,source_count,Number of represented sources.,integer,count,,blank/NA means not reported or not applicable; never imputed,calculated,molecule aliases,metadata_only,integer >= 1,count distinct contributing source_id values,metadata
molecules,standard_inchi_key,Generated standard InChIKey when available.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,standardized_smiles,identifier,source-defined or controlled vocabulary,RDKit/InChI standard InChIKey from standardized parent,metadata
molecules,standardization_status,Validation/standardization result.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
molecules,standardization_version,Complete chemical standardization namespace.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
molecules,standardized_smiles,Configured parent/neutralized representation.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,submitted_smiles,feature_candidate,source-defined or controlled vocabulary,"RDKit cleanup, configured fragment-parent selection and neutralization; no tautomer collapse",metadata
molecules,structure_id,Versioned standardized-structure identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,submitted molecular structure,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over standardized parent SMILES and policy version,metadata
molecules,submitted_smiles,One traceable submitted structure representation.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,feature_candidate,source-defined or controlled vocabulary,none,metadata
observation_lineage,lineage_id,Stable observation-to-source-file lineage edge identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation and raw-file manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over observation and source-file identities,metadata
observation_lineage,lineage_role,primary or mirrored raw assertion.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,source record,metadata_only,source-defined or controlled vocabulary,none,metadata
observation_lineage,observation_id,Canonical observation identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source observation assertion,identifier,source-defined or controlled vocabulary,"versioned SHA-256 over source release, source record and endpoint assertion",metadata
observation_lineage,snapshot_id,Singular immutable snapshot identity for this edge.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
observation_lineage,source_file_id,Immutable raw source-file identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,raw snapshot bytes,identifier,source-defined or controlled vocabulary,versioned SHA-256 over raw-file content SHA-256,metadata
observation_lineage,source_id,Source identity for this raw lineage edge.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
observations,access_class,Access/legal axis independent of quality.,category,not applicable,confidential|licensed|public_access_restricted|public_redistributable|unknown,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,grouping_variable,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
observations,assay_id,Resolved assay identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source assay record,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over source release and source assay identity,safe_group
observations,canonical_unit,Canonical unit; blank when conversion is unsupported.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,original_unit and endpoint,target,source-defined or controlled vocabulary,endpoint-aware unit spelling/conversion; blank if unsupported,target
observations,canonical_value,Deterministically unit-normalized value.,float,canonical_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,value_numeric and original_unit,target,finite; positive for molar concentration endpoints,endpoint-aware unit conversion; molar concentration endpoints converted to nM,target
observations,conflict_group_id,Measurement conflict group identity when flagged.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observations,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over endpoint/identity context when conflict rule fires,safe_group
observations,construct_id,Exact source-reported construct identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source-reported construct,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over protein identity and exact sequence/construct annotation,safe_group
observations,cross_source_mirror,Possible mirrored assertion retained across sources.,boolean,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observations across sources,metadata_only,source-defined or controlled vocabulary,exact-value/document/identity mirror-candidate rule; never proof of sameness,metadata
observations,dedup_group_id,Exact/representation/repetition group identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation fields,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over endpoint-aware repeated-measurement key,safe_group
observations,development_stage,Explicit asset stage; unknown unless directly reported.,category,not applicable,approved|discovery|explicit_preclinical|ind_enabling|phase_1|phase_2|phase_3|phase_4|unknown|withdrawn,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,grouping_variable,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
observations,document_id,Publication/patent/document identity.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,source-defined or controlled vocabulary,none,safe_group
observations,document_year,Source-reported document year.,integer,calendar year,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,grouping_variable,1800..build year + 1; source exceptions flagged,none,safe_group
observations,endpoint,Normalized but semantically unmerged endpoint.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,source record,target,source-defined or controlled vocabulary,none,target
observations,endpoint_family,Coarse endpoint family; not a pooled target.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source endpoint,grouping_variable,source-defined or controlled vocabulary,conservative endpoint-name mapping without equivalence conversion,safe_group
observations,evidence_domain,Non-pooled scientific evidence family.,category,not applicable,binding|clinical|herg|other|pk_adme|qt,blank/NA means not reported or not applicable; never imputed,calculated,"source target, endpoint and assay metadata",grouping_variable,source-defined or controlled vocabulary,non-pooling endpoint/target/context classification rules,safe_group
observations,evidence_stage,"Stage of the experiment, not asset development stage.",category,not applicable,clinical_registry|clinical_results|postmarketing|preclinical_ex_vivo|preclinical_in_vitro|preclinical_in_vivo|regulatory_label,blank/NA means not reported or not applicable; never imputed,calculated,source assay/study metadata,grouping_variable,source-defined or controlled vocabulary,rule mapping only from explicit assay/study context; otherwise NA,safe_group
observations,exclusion_reason,Explicit reason when not included.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical validation findings,metadata_only,source-defined or controlled vocabulary,sorted join of deterministic QC failure/review reasons,metadata
observations,inclusion_status,"included, review, or quarantined.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical validation findings,grouping_variable,source-defined or controlled vocabulary,deterministic QC gate with retained reason,safe_group
observations,label_text,Source categorical label when no numeric measurement exists.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,target,source-defined or controlled vocabulary,none,target
observations,lower_bound,Canonical lower bound; NA means unbounded/unknown.,float,canonical_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,canonical_value and relation,target,finite or NA for unbounded; lower <= upper when both present,relation-preserving canonical bound; no midpoint or cap imputation,target
observations,molecule_id,Resolved canonical molecule identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,molecule source assertion(s),grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over standard InChIKey or standardized structure namespace,safe_group
observations,observation_id,Stable identity of one source assertion.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source observation assertion,identifier,source-defined or controlled vocabulary,"versioned SHA-256 over source release, source record and endpoint assertion",metadata
observations,observation_kind,"Raw/summary experiment, curated assertion, derivation, or prediction.",category,not applicable,curated_assertion|derived|experimental_raw|experimental_summary|prediction,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,grouping_variable,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
observations,original_unit,Unmodified source unit.,string,unit label,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,target,source-defined or controlled vocabulary,none,target
observations,p_activity,Derived -log10 molar value for supported concentration endpoints.,float,-log10(mol/L),,blank/NA means not reported or not applicable; never imputed,calculated,"canonical_value, canonical_unit and endpoint",target,finite for positive molar values; 0..14 used as QC review range,"9 - log10(canonical_value in nM), only for positive supported molar endpoints",target_derived
observations,p_activity_relation,Relation after monotone decreasing p-transform.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,relation and p_activity,target,source-defined or controlled vocabulary,monotone-decreasing inversion of the source concentration relation,target_derived
observations,potential_leakage,Whether the row/field lineage is target-derived or post-outcome.,boolean,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,observation lineage,metadata_only,source-defined or controlled vocabulary,lineage rule flags prediction/post-outcome/target-derived records,leakage_flag
observations,protein_id,Resolved protein/complex identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source target assertion and explicit accession mapping,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over accession-aware protein or complex identity,safe_group
observations,quality_grade,Scientific/data fitness axis independent of access.,category,not applicable,gold|identity_resolved|parsable|protocol_sufficient|quarantined|raw,blank/NA means not reported or not applicable; never imputed,calculated,"identity, value, unit and protocol QC",grouping_variable,source-defined or controlled vocabulary,deterministic QC ladder independent of access and stage,safe_group
observations,raw_file_ids,Traceable raw file identities contributing the assertion.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,raw-file lineage for the source observation,metadata_only,source-defined or controlled vocabulary,sorted semicolon join of raw source-file identifiers,metadata
