record_id,domain,asset,why_needed,availability,status,priority,next_action
sun_2026_jcim_6c00163,hERG,"original structures with row-level source and assay metadata","separate protocol effects from chemical effects and reconstruct defensible labels","not attached; source records partly public",missing,critical,"request row-level provenance and retrieve primary assay records where identifiers allow"
sun_2026_jcim_6c00163,hERG,"training and validation split assignments","test scaffold and temporal leakage and reproduce reported metrics","not released in attachments",missing,critical,"request authors' split manifests or rebuild conservative scaffold and temporal splits"
sun_2026_jcim_6c00163,hERG,"model code and fitted artifacts","reproduce atom typing, correction factors, tuning, and uncertainty","not released in attachments",missing,high,"request code; otherwise implement only an independently specified comparator"
sun_2026_jcim_6c00163,hERG,"complete correction-factor definitions and mapping","resolve discrepancy between 40 corrections in the article and M1-M30 in the SI","not resolved by attachments",missing,high,"request implementation or mapping table from authors"
sun_2026_jcim_6c00163,hERG,"large-molecule hERG measurements above MW 650","test the intended domain instead of extrapolating a mostly MW 200-600 benchmark","current internal set is small and remote from the published domain",missing,critical,"prioritize matched concentration-response experiments with protocol metadata"
miyashita_2024_structure,hERG,"EMDB maps 60573-60576","map-level validation and alternate-state interpretation for the now-local 8ZYN-8ZYQ coordinates","public repository; coordinate records acquired and validated",not_local,medium,"acquire maps only if map-level refinement is prioritized; do not treat raw coordinates as prepared receptors"
miyashita_2024_structure,hERG,"image-processing particles and reconstruction metadata","assess local uncertainty and alternate side-chain states","not attached; repository/author availability varies",missing,medium,"obtain only if map-level refinement is required"
miyashita_2024_structure,hERG,"docking poses, protonation states, restraints, and scoring scripts","reproduce the reported MOE interaction analysis","not attached",missing,high,"request authors' prepared systems and scoring workflow"
lau_2024_nature_communications,hERG,"EMDB 45597 and 45598","map-level validation for the selected local 9CHP/9CHQ C4 high-K/low-K coordinate pair","public repository; selected coordinate records acquired and validated",not_local,medium,"acquire the two selected maps only if map-level refinement is prioritized; retain preparation blockers"
lau_2024_excluded_c1_coordinates,hERG,"9CHR and 9CHS C1 coordinate models and EMDB-45599/45600 maps","optional asymmetry sensitivity only; these lower-resolution symmetry-relaxed reconstructions must not multiply correlated active receptor hypotheses","reported at 3.5 and 3.4 angstrom; intentionally removed from the canonical local library",not_local,low,"do not reacquire for routine modeling; reconsider only after a specific C1 asymmetry hypothesis and map-level validation plan are preregistered"
wang_2017_excluded_coordinates,hERG,"5VA1, 5VA2, and 5VA3 coordinate models","historical structural provenance only; older lower-resolution truncated constructs and a non-inactivating mutant are poor default templates relative to the selected 2024 structures","public repository; intentionally removed from the canonical local library",not_local,low,"do not reacquire for routine modeling; 5VA1/5VA2 may be reconsidered only for a justified historical sensitivity and 5VA3 remains excluded as S631A"
lau_2024_nature_communications,hERG,"simulation inputs, topologies, trajectories, umbrella windows, and modified analysis code","reproduce barriers, flip counts, and sensitivity analyses","bulk data available only on request; modified code not attached",missing,critical,"request complete simulation package and analysis commit from corresponding authors"
mavroudis_2023_frontiers,PK,"compound structures, raw rat IV concentration-time profiles, and assay covariates","learn primitive disposition processes and avoid circular endpoint reconstruction","proprietary and not attached",missing,critical,"request data dictionary and de-identified profiles from authors/Dr. Aguilar"
mavroudis_2023_frontiers,PK,"training code, split assignments, fitted models, and PBPK configuration","reproduce model comparison and test leakage","not attached",missing,high,"request reproducibility bundle"
mavroudis_2023_frontiers,PK,"successor study package from Jia et al. 2025","extend hybrid PK precedent and compare newer practice","both public supplements acquired locally; main article, raw/digitized concentration-time rows, code, and fitted artifacts remain absent",partial,high,"obtain the article and request the time-resolved profile/reproducibility package; do not mistake the modeling workbook for raw profiles"
