axis,variant,role,execution_status,selection_rule
structure_policy,parent_standardized,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
structure_policy,exact_submitted_state,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
censoring,censored_likelihood,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
censoring,exact_only,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
label_confidence,all_model_eligible,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
label_confidence,gold_protocol_only,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
source,all_public_sources,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
source,one_source_removed,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
features,molecule_only,baseline,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
features,molecule_plus_protein,primary_multimodal,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
features,structure_conditioned,incremental_value,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
similarity_threshold,tanimoto_0.70,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
similarity_threshold,tanimoto_0.80,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
similarity_threshold,tanimoto_0.90,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
random_seed,fixed_primary_seed,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
random_seed,predeclared_additional_seeds,algorithmic_stability,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
imbalance,natural_prevalence,calibration_reference,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
imbalance,balanced_class_weight,sensitivity,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
outliers,retain_valid_extremes,default,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
outliers,winsorization_fit_on_train,sensitivity_only,configured_not_run,compare_on_frozen_validation; report all prespecified locked-test sensitivities
