table,code,severity,scope,message,row_number,column,identifier,value,context
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,0,assay_description,12639597,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,1,assay_description,12639598,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,2,assay_description,12639600,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,3,assay_description,12639601,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,4,assay_description,12639602,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,5,assay_description,12639603,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,6,assay_description,12639604,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,7,assay_description,12639605,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,8,assay_description,12639606,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,9,assay_description,12639607,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,10,assay_description,12639608,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,11,assay_description,12639609,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,12,assay_description,12639610,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,13,assay_description,12639611,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,14,assay_description,12639612,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15,assay_description,12639613,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,16,assay_description,12639614,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17,assay_description,12639615,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
menin,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,18,assay_description,12639616,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,{}
