current_feature,physical_phenomenon,mechanism_precedent,exact_feature_precedent,novelty_grade,current_role,decisive_issue,fundamental_replacement,falsification_gate
formal_charge__mean,solution speciation and net-charge tendency,established,established equilibrium summary,established_not_novel,context_qc_only,"Mean net charge hides state-specific flux and local charge topology","microstate composition; site-specific charge; state free energy; exchange and transfer rates","pH perturbation with measured microscopic pKa and state-specific permeability or hERG response"
absolute_formal_charge__mean,magnitude of net molecular charge,charge and hydration mechanism established,no useful exact PK/hERG precedent found,unsupported_novelty,rejected_as_predictor,"abs(net charge) is zero for both nonionic and net-zero zwitterionic states","separate positive/negative formal-charge burdens; accessible electrostatic surfaces; hydration free energy","must distinguish matched nonionic and zwitterionic states"
polar_sasa_ang2__q05,low exposed-polarity tail,established,minimum and distributional 3D PSA established but exact q05 not found,extended,provisional_discovery_proxy,"5 percent is an operational quantile and ignores transition accessibility","reactive-flux-weighted exposed polarity; site hydration; transfer free energy","q01/q05/q10 and common-threshold stability plus explicit-solvent or NMR confirmation"
nonpolar_sasa_ang2__mean,accessible nonpolar contact capacity,established,ensemble nonpolar surface already used,established_not_novel,provisional_discovery_proxy,"Cannot distinguish productive partition from interface trapping desorption solubility or nonspecific binding","interface partition free energy; core barrier; release barrier; orientation-conditioned contacts","joint membrane binding permeability solubility and desorption measurements"
radius_of_gyration_angstrom__q05,rare compact-state availability,established,ensemble Rg established but exact weighted q05 not found,extended,mechanistic_diagnostic_only,"Compactness is size-confounded and Schade 2024 shows local shielding in globally extended oral PROTACs","joint free-energy surface; local shielding; projected cross-section; conformational-gating MFPT; reactive flux","matched edits must change the coupled polarity-orientation basin and path kinetics; low Rg alone is insufficient"
npr1__mean,global mass-shape anisotropy coordinate,established,standard NPR representation,established_not_novel,visualization_qc_only,"Mean can describe an unpopulated shape and erases multimodality and orientation","environment/path-conditioned shape basins; projected area; receptor/membrane orientation","explicit orientation and accommodation must be reproduced"
npr2__mean,global mass-shape anisotropy coordinate,established,standard NPR representation,established_not_novel,visualization_qc_only,"NPR1 and NPR2 are one coordinate not two mechanisms; mean erases path information","environment/path-conditioned shape basins; projected area; receptor/membrane orientation","explicit orientation and accommodation must be reproduced"
joint_conformational_entropy_normalized,evenness of generated state-conformer weights,thermodynamic entropy established,current row-weight normalization is not thermodynamic entropy,unsupported_novelty,sampling_qc_only,"Enumeration clustering caps and approximate MMFF/UFF weights determine the value; no kinetics","metastable-basin free energies; transition matrix; MFPT; spectral gap; committor; reactive flux","independent enhanced-sampling replicas and NMR exchange must reproduce populations and timescales"
composite__exposure_adjusted_hbond_burden,exposed donor and acceptor dehydration,established,no exact validated combined surface fraction found,candidate_aggregation,hypothesis_falsification_only,"Combining HBD and HBA contradicts donor-acceptor asymmetry and total-SASA normalization can dilute burden","separate site-resolved HBD/HBA hydration free energies and water occupancy/lifetime","matched donor-to-acceptor swaps and site masking must justify any combination"
composite__intramolecular_shielding_candidate,IMHB compensation for desolvation,established,no exact IMHB-count/polar-SASA precedent found,candidate_aggregation,hypothesis_falsification_only,"Distance-only count omits geometry strength solvent competition occupancy lifetime and network cooperativity","environment-conditioned IMHB graph occupancy lifetime and formation free energy","matched IMHB perturbation confirmed by NMR or explicit solvent must change permeability as predicted"
composite__charge_separation_per_gyration_candidate,electrostatic amphiphilicity and orientation,broad concept established,no exact charge-centroid/Rg PK or hERG precedent found,candidate_aggregation,hypothesis_falsification_only,"Fixed Gasteiger global centroid discards magnitude polarization local patches orientation and receptor field","environment-specific electrostatic surfaces; multipoles; accessible charge patches; local receptor complementarity","ordering must survive charge models and predict independent membrane/receptor orientation"
