source,category,current_scope_or_release,experimental_affinity_role,overlap_and_double_counting_risk,rights_status,local_action,decision
BindingDB,primary affinity,2026-08 full TSV; 3234499 scanned rows,"Kd, Ki, IC50, EC50 plus kinetics and provenance","High: includes 1658927 ChEMBL rows, PubChem, patents, PDSP and other sources","Mixed by row: BindingDB-curated CC BY 4.0; ChEMBL-derived rows retain CC BY-SA","Full archive acquired and checksum verified","INCLUDE; retain source tags and do not add imported rows to their parent source again"
ChEMBL 37,primary bioactivity,2117384 local Kd/Ki/IC50/EC50 rows,"Assay-level binding and functional endpoints","Very high with BindingDB (BindingDB explicitly imports ChEMBL)",CC BY-SA 3.0,"Already held locally; no new copy made","INCLUDE as independent primary view; use source lineage in cross-source deduplication"
IUPHAR/BPS Guide to PHARMACOLOGY,curated pharmacology,2026.2; 24599 interactions,"Expert-curated pKd/pKi/pIC50/pEC50 and other pharmacology","Moderate/high with ChEMBL and GPCRdb; 7181 ligands have ChEMBL IDs","Database ODbL; content CC BY-SA 4.0","Interactions and ligand exports acquired","INCLUDE as high-trust curated evidence; keep pKB/pA2 separate"
BioLiP2,structure-affinity linkage,68890 affinity-linked rows,"Maps reported affinities to PDB ligand sites","High with BindingDB and Binding MOAD; chain/site replication","Site says freely available but no explicit standard data license found; source rights remain relevant","Affinity table acquired","INCLUDE for structural linkage and provenance, not as 68890 new independent measurements"
PubChem BioAssay,assay repository,BindingDB contains 1398518 rows with PubChem AID,"Confirmatory and screening bioactivity","Very high: BindingDB already carries PubChem provenance and AIDs","Public US government resource; individual deposited content/provenance still must be retained","No bulk duplicate acquired","TARGETED DELTA ONLY by AID after comparison against BindingDB/ChEMBL"
Papyrus,integrated ML dataset,05.7 / 2024.2,"Normalized multi-source bioactivities; Papyrus++ high-quality subset","Very high: current release based on older ChEMBL plus other known sources","Zenodo record CC BY-SA 4.0; upstream source attribution still required","Official Zenodo metadata acquired; multi-GB data deferred","REFERENCE/DELTA; local ChEMBL 37 supersedes the dominant label source"
GPCRdb,GPCR aggregation,499650 displayed ligand bioactivities,"GPCR potency/affinity validation and receptor normalization","Very high: documentation names ChEMBL, Guide to Pharmacology and PDSP Ki as sources",CC BY 4.0,"No duplicate bulk export acquired","VALIDATION VIEW; do not add as a third copy of source bioactivities"
PDBbind,structure-affinity benchmark,public metadata only,"Kd/Ki/IC50 linked to PDB complexes","Overlaps structural BindingDB/BioLiP records","Redistribution prohibited without explicit permission","No restricted data acquired","EXCLUDE FROM REDISTRIBUTABLE CORPUS; use citation/metadata only or obtain written permission"
Binding MOAD,structure-affinity database,"Historical 2015 paper: 23269 complexes; 8156 affinities","High-quality structure-linked affinities","Represented substantially in BioLiP; current authoritative site/download unavailable","No clear current standardized redistribution license found","No direct archive acquired","REFERENCE VIA BIOLIP PROVENANCE; seek rights clarification before redistribution"
PLINDER,structural benchmark,2024-06/v2; >400000 PLI systems,"Metadata/structures, not a reliable new affinity label source","Derived from PDB plus external sources","Curated data Apache 2.0; upstream BindingDB/ChEMBL terms apply","No hundreds-of-GB download","DEFER; documented ligand_binding_affinity parsing bug makes current affinity field unsuitable"
CrossDocked2020,docking benchmark,22.5 million poses,"Docking/Vina scores only; not experimental binding affinity","PDB/CrossDocked structural overlap","No clear standalone data license found","No 43-GB download","EXCLUDE FROM AFFINITY LABELS; optionally use later for pose pretraining"
BigBind,ML/docking dataset,V1.5; paper reports 583000 ligand activities,"ChEMBL-derived activity labels plus putative inactives","Near-total label overlap with ChEMBL 33 and CrossDocked","Code MIT; data inherit upstream ChEMBL and structure terms","No redundant archive acquired","DEFER; local ChEMBL 37 is newer and cleaner for endpoint-preserving labels"
