task_family,metric,role,rationale,registry_version,reporting_rule
binary_classification,average_precision_pr_auc,primary,discrimination under imbalance,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binary_classification,brier_score,secondary,probabilistic accuracy and calibration,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binary_classification,balanced_accuracy,secondary,thresholded class balance,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binary_classification,roc_auc,secondary,threshold-free ranking; can obscure imbalance,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binary_classification,ece_uniform,diagnostic,bin-dependent calibration screen,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binary_classification,matthews_correlation_coefficient,diagnostic,thresholded summary,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binding_log_regression,mae,primary,absolute error on declared log-affinity scale,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binding_log_regression,spearman_r,secondary,within-set ranking,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binding_log_regression,rmse,secondary,penalizes large errors,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
binding_log_regression,r2,diagnostic,set-distribution-dependent explained variance,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
pk_log_regression,mae,primary,absolute error on declared log-PK scale,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
pk_raw_positive_regression,median_fold_error,primary,multiplicative PK error,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
pk_regression,prediction_interval_coverage,primary,uncertainty validity,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
censored_regression,mean_interval_violation,primary,respects bounds without midpoint imputation,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
censored_regression,fraction_predictions_consistent_with_bounds,secondary,bound consistency,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
virtual_screening,enrichment_factor_0p01,primary,early retrieval at a fixed fraction,1.0.0,task_must_predeclare_one_registry_family_before_locked_test_evaluation
