"id","area","documented_or_expected","observed_at_audit","status","severity","evidence","required_resolution","owner"
"D001","scope","Comprehensive protein-and-molecule platform","Legacy production workflow and namespace are Menin-specific; platform modules were being added during audit","planned","blocker","README.md; pipeline package; active workstream paths","Complete platform contracts and label all legacy outputs as target-specific baselines","integration_lead"
"D002","release state","Reproducible verified repository","Run metadata at 2026-08-04T15:31:15Z reports manifest verification failure for software models and reports","failed_current_check","blocker","research/reports/run_metadata.json","Regenerate all manifest scopes on final clean staged tree and rerun offline verification","integration_lead"
"D003","git state","Release artifacts tied to a clean immutable revision","One commit plus large uncommitted migration with hundreds of deletes and many additions","requires_human_review","blocker","git status; git log","Review migration intent stage exact release set and verify from clean clone","integration_lead"
"D004","licensing","Reusable public research software","No repository LICENSE and code documentation and model-artifact licenses are pending","requires_human_review","blocker","docs/licensing.md","Rights holder and institution select compatible licenses and record third-party obligations","project_owner"
"D005","confidentiality","Public artifacts separated from internal data","Mixed-access PK/hERG derivatives models reports simulations and outputs existed outside raw internal input","locally_evidenced","blocker","workspace inventory; current scoped .gitignore","Keep local-only exclusions and perform staged disclosure review including weights plots logs and aggregates","data_owner"
"D006","BindingDB provenance","Versioned reproducible BindingDB snapshot","Legacy target exports lack a monthly release identifier but are explicitly superseded by the immutable origin-audited BindingDB 202608 bundle manifest 5a7425f680e6820ea665212e051bd11a2ece2e03d916534456640bdd67297406","completed","high","legacy collection metadata; research/data/platform/raw/external_public/bindingdb_curated_202608/bindingdb_curated_202608_manifest.json","Retain legacy unresolved status; use only the dated 202608 package for platform evidence and keep canonical admission conditional","data_foundation"
"D007","PubChem provenance","Stable assay snapshot with global redistribution status","Raw bytes and AIDs are frozen but live records can change/revoke and contributor rights are source-specific","requires_human_review","high","local PubChem files; PubChem guidance","Store contributor terms and record versions; release only approved subsets","data_governance"
"D008","protein identity","Canonical protein accession version sequence isoform construct mutation and complex identity","Legacy target records do not provide a complete construct-aware protein entity layer","planned","blocker","legacy processed schemas and docs/data_dictionary.md","Implement entity schema and mapping confidence; quarantine unresolved constructs","data_foundation"
"D009","molecule identity","Material-aware molecule entity resolution","Legacy parent standardization cannot recover salts mixtures stereochemistry lots or assay-generated forms","locally_evidenced","high","docs/limitations.md","Preserve submitted and standardized forms plus ambiguity and use-case-specific keys","data_foundation"
"D010","endpoint semantics","Binding affinity and free-energy capability","Legacy sources contain heterogeneous IC50 Ki Kd EC50 and other values; these are not exchangeable","locally_evidenced","blocker","docs/limitations.md; source tables","Keep endpoint-specific tasks; derive free energy only from compatible equilibrium constants","scientific_lead"
"D011","censoring","Use of inequality and interval observations","Ordinary legacy models are exact-only; censoring-aware likelihood is not implemented","planned","high","docs/limitations.md","Implement censoring-aware models or retain exact-only label and quantify selection sensitivity","model_lead"
"D012","PK coverage","Large PK dataset and models","Legacy PK output is a small Menin-associated heterogeneous inventory with extensive context missingness","locally_evidenced","blocker","research/data/processed/build_summary.json; research/reports/summary.md","Acquire versioned multi-source PK corpus and build endpoint/species/route-specific tasks","data_foundation"
"D013","hERG claim","Cardiotoxicity and QT prediction","Legacy model is an IC50 functional-electrophysiology hERG classifier with project thresholds","locally_evidenced","blocker","docs/limitations.md; hERG manifest/reports","Call it hERG endpoint prediction; add separate multichannel QT and clinical evidence before broader claims","scientific_lead"
"D014","clinical evidence","Preclinical clinical-development clinical-results and regulatory levels","The legacy pipeline has no comprehensive layer; the platform now freezes ClinicalTrials.gov Drugs@FDA and DailyMed raw evidence with zero canonical admission or labels and no reviewed molecule/product/outcome mapping","locally_evidenced","blocker","repository inventory; frozen external acquisition manifests","Parse map and adjudicate versioned evidence views with explicit stage/result semantics before any clinical or regulatory outcome claim","data_foundation"
"D015","negative labels","Absence interpreted safely","Some future classification tasks could mistake no record or no posted result for negative","planned","blocker","ontology review","Require explicit experimental negative definitions and never infer negative from absence","scientific_lead"
"D016","duplicate control","Independent observations and mirrors resolved","Exact mirror heuristic can miss rounded/context variants and can collapse independent equal values","locally_evidenced","high","docs/limitations.md; sensitivity report","Use provenance graph probabilistic linkage manual review and retain no-collapse sensitivity","data_foundation"
"D017","split leakage","Leakage-safe multi-target generalization","Legacy exact structure/scaffold checks do not establish protein family pocket publication or pretrained-model separation","planned","blocker","legacy split manifests","Audit ligand sequence family pocket source time and model-cutoff overlap; include double-cold split","model_readiness"
"D018","temporal validity","Robust prospective-like performance","Legacy temporal tests are materially weaker than random/scaffold results and use mixed document clocks","locally_evidenced","high","research/reports/summary.md; docs/limitations.md","Make temporal results prominent and add true release/assay-date audits","model_lead"
"D019","external validation","Independent external and prospective validation","No harmonized external multi-target lockbox or executed blinded prospective study is locally evidenced","planned","blocker","docs/limitations.md","Freeze independent lockbox then conduct prospective validation after model/analysis lock","scientific_lead"
"D020","uncertainty","Reliable uncertainty under shift","Legacy intervals/calibration are internal and conditional on dataset split/model; source and model-selection uncertainty excluded","locally_evidenced","high","docs/limitations.md","Evaluate coverage calibration and selective risk under all held-out regimes and external data","model_lead"
"D021","structure models","Comprehensive structure prediction and refinement","Local production simulation disabled/deferred; external models need GPUs terms and overlap review","hardware_blocked","high","pipeline/config/pk_herg_research.yaml; source/model review","Implement adapters only; run production benchmarks later under approved HPC and licenses","hpc_lead"
"D022","external affinity models","Current foundation affinity models ready for use","Boltz-2 training/evaluation release incomplete; Nesso mixes endpoint types; AF3 weights restricted; Chai is structure-only","requires_human_review","high","docs/platform/source_and_model_review.md","Use evaluation-only adapters with explicit semantics licenses and overlap audits","model_lead"
"D023","dependency environment","One exact supported environment","environment.yml pins 3.12 while lock provenance uses macOS CPython 3.13 and package/CI support multiple versions","requires_human_review","medium","environment.yml; requirements.lock; pyproject.toml; CI","Document support matrix and reproduce the release lock in its declared environment","software_lead"
"D024","portability","No personal absolute executable paths","Personal paths were found in meeting tooling and corrected by the lead during this audit","completed","medium","lead confirmation and repo-wide path scan","Rerun scan on final staged tree","integration_lead"
"D025","large-model training","Pretraining readiness without substantive training","No substantive large-model training was run; only interface/fixture work is in scope","not_applicable","none","project specification; workstream declarations","Maintain this boundary until the readiness gate passes","integration_lead"
