"model_id","year","peer_reviewed","task","exact_dataset_and_split","label_definition","representation","model","reported_performance","external_or_coverage","release_status","five_word_issue","critical_audit","comparison_priority","primary_source","official_artifact","as_of"
"MaxQSARing","2025","yes","binary hERG blockade","development 12620: 6643 blocker, 5977 nonblocker; scaffold 80/20 and random/scaffold fivefold CV; external-I 740: 30/710; external-II 116: 53/63","paper-curated binary hERG labels; threshold lineage pooled from prior public datasets","62 fingerprints/descriptors plus 30 pretrained representations; selected subsets","XGBoost AutoML; small decision-tree surrogate also evaluated","scaffold-CV MCC 0.608; random-CV MCC 0.747; external-I scaffold model MCC 0.232, accuracy 0.754","external-I max train similarity below 0.3; external-II ten novel scaffolds; decision tree reached MCC 0.248 on external-I","MIT code; no frozen release; repository audited","Small externals; feature search instability","Extensive representation/feature search, tiny external-II, heavily skewed external-I, no explicit WT or assay-modality semantics; pretrained representations were not consistently better on new scaffolds","P1 adapter and matched comparator","https://doi.org/10.1016/j.jpha.2025.101411","https://github.com/iipharma/maxqsaring","2026-08-07"
"Transformer_Morgan","2025","yes","binary hERG blockade","paper says 22247 standardized SMILES; reported split 17797 train plus 4461 test equals 22258; external panel 100: 50 blocker, 50 nonblocker","pIC50 at least 5 is blocker","Morgan 2048-bit fingerprint plus four-layer, 64-head task-trained Transformer; 208 RDKit descriptors and other fingerprints compared","Transformer plus Morgan feature fusion","random-test AUC 0.9347, MCC 0.6776, accuracy 0.8456, balanced accuracy 0.8393; external AUC 0.93, accuracy 0.86","random 80/20; external 100 deliberately balanced compounds","code/data availability described in paper; exact frozen artifact not verified in this audit","Random split; tiny balanced external","Eleven-row paper arithmetic inconsistency; random split; balanced tiny external; pooled source labels; encoder is not a pretrained SMILES language model; SHAP surrogate does not explain Transformer","P0 architectural reproduction on frozen local splits","https://doi.org/10.1016/j.jpha.2025.101263","NR","2026-08-07"
"XGB_ISE","2025","yes","extreme-imbalance binary hERG inhibition","official SI total 290731; train 183082: 6248/176834; internal 20343: 667/19676; external Ogura 87306: 2964/84342","IC50 at most 10 micromolar or inhibition at least 50 percent at 10 micromolar is positive","4298 initial descriptors reduced to 22 then 8","29 balanced XGBoost models plus isometric stratified ensemble map","full external sensitivity 0.83, specificity about 0.90-0.91, MCC 0.41, F1 0.36; selected ISE strata MCC 0.72, F1 0.71","selected strata cover 55885 of 87306, 64 percent; full-set result also reported","data SI public under article terms; code via web service/licensed negotiation","Selective coverage inflates headline performance","Best number applies to 64-percent selective coverage; internal set informed ISE binning and descriptor selection; broad HTS label collapses assay semantics","P0 imbalance and selective-prediction comparator","https://doi.org/10.1038/s41598-025-99766-3","https://doi.org/10.1038/s41598-025-99766-3","2026-08-07"
"HERGAI","2025","yes","binary hERG blockade with docking features","total 299927: 1937 blockers, 297990 nonblockers; train 224945: 1453/223492; test 74982: 484/74498","public hERG activity labels inherited from high-throughput/public sources","ClassyPose-selected docking pose and PLEC interaction fingerprints","RF, XGBoost, DNN base learners and DNN stack","DNN stack test AUC 0.863, recall 0.864, specificity 0.652, balanced accuracy 0.758, EF0.1 percent 64.05","random 75/25 with Bemis-Murcko scaffold analysis; 24 active scaffolds shared according to paper","official repository archived 2026-01-01; MIT; data and code present","Massive imbalance; docking pipeline dependency","Active prevalence 0.646 percent; pose-generation cost and conformation dependence; public-screening negative universe; no explicit WT/assay semantics","P1 physics/interaction-feature adapter","https://doi.org/10.1186/s13321-025-01063-8","https://github.com/vktrannguyen/HERGAI","2026-08-07"
"hERGBoost","2025","yes","continuous hERG IC50/pIC50 regression and thresholded classification","curated study dataset 10798 unique molecules; independent external 706, including 623 from Lanevskij with 345 patch-clamp and 278 in-vitro records","continuous logIC50; 10 micromolar threshold for secondary classification","AlvaDesc molecular descriptors and fingerprints","XGBoost selected after model comparison","external R2 0.394, RMSE 0.616, MAE 0.438; thresholded external MCC 0.413","external 706; extreme subset of 113 with logIC50 below 0 had RMSE 1.154 versus 0.445 for remaining 593","web server and downloadable data claimed; server availability/license not established here","Extreme potencies remain poorly predicted","Modest external R2; errors regress toward dense 10-micromolar region; exact split and assay harmonization need frozen artifact verification","P0 quantitative comparator","https://doi.org/10.1016/j.compbiomed.2024.109416; https://patents.google.com/patent/KR20260004987A/ko","http://ssbio.cau.ac.kr/software/hergboost","2026-08-07"
"hERGAT","2025","yes","binary hERG blockade","23381 unique: 14183 blocker, 9198 nonblocker; random 80/10/10; expected counts 18704/2338/2339","pooled ChEMBL, PubChem, and literature binary labels","graph attention plus molecular fingerprints","attention-based graph network with fingerprint fusion","paper test accuracy 0.872, AUC 0.907, AUPR 0.904, F1 0.891; current repository output AUC 0.94946, AUPR 0.95770","multiple external datasets; paper average accuracy 0.908 plus or minus 0.051, AUC 0.930 plus or minus 0.044","official repository/data and weights available through external Drive; audited commit 7a706ff084faffbd9782fa4075d3e099e62f6533","Random split rewards scaffold overlap","High 60.66-percent positive prevalence; random split; pooled assay semantics; repository metrics differ from paper; attention is not causal explanation","P0 open deep comparator","https://doi.org/10.1186/s13321-025-00957-x","https://github.com/bmil-jnu/hERGAT","2026-08-07"
"hERG_MFFGNN","2025","yes","binary hERG blockade","official repo benchmark 14322: 8488 positive, 5834 negative; external sets 44:30/14, 157:41/116, 41:11/30, 740:34/706","repository binary hERG column; exact assay/threshold semantics not encoded","five fingerprints, physicochemical descriptors, molecular graph, co-attention","multiple fingerprint-feature fusion graph neural network","paper AUC 0.909 and accuracy 0.854; fivefold validation plus four external sets reported","repository uses fixed random test fold of approximately one-sixth plus rotating validation folds","official code/data; audited commit bb8cca8d83811702ceb56675a928353948fb7674; no license file found","Repository evaluates test every epoch","Repository training evaluates fixed test every epoch and saves best-test checkpoints; random split; no explicit WT/assay semantics; tiny first and third external sets","P1 architecture only; repair evaluation before comparison","https://doi.org/10.1007/s12539-025-00768-6","https://github.com/zhaoqi106/hERG-MFFGNN","2026-08-07"
"TDMFLSGAT","2026","yes","binary hERG blockade","official workbook training sheet 10355; test sheet empty; code contains fixed split index 8284, implying 8284/2071, while paper reports fivefold CV","binary hERG blocker; archived workbook includes pIC50","byte-level BPE SMILES Transformer, fingerprints, and layer-wise self-adaptive GAT","triple-decision multimodal fusion network","fivefold-CV accuracy 0.823, AUC 0.901, AP 0.915, sensitivity 0.850, specificity 0.792, MCC 0.641","internal fivefold CV; complete independent test artifact not present in audited repository","official code/data; audited commit b5019e06bca0a33b53cbe70e88a7cd350afd8df1; no license found","Incomplete archive; nonportable absolute paths","Hard-coded local paths, missing generated feature files, empty test sheet, fixed-split code alongside paper CV; Transformer deliberately not ChemBERTa/MolBERT-pretrained","P1 feature-fusion adapter after repair","https://doi.org/10.1021/acsomega.5c10745","https://github.com/BeidjaCheikh/TDMFLSGAT_data_and_code","2026-08-07"
"MultiCTox","2025","yes","multimodal hERG, Nav1.5, and Cav1.2 classification","official repo development: hERG 22246 split 17796/4450, Nav1.5 2069 including two rows without USED_AS, Cav1.2 802; external hERG 250 and 473, Nav 64 and 142, Cav 62 and 81","pIC50 at least 5 is positive","SMILES encoder, molecular graph/structure, and fingerprints with contrastive fusion","adaptive multimodal neural network","paper reports statistically significant gains over compared methods; exact headline metric not transcribed without full primary tables","two similarity-filtered external sets per channel labeled 60 and 70 in repository","official code/data; audited commit 9c079268f5fd07a4132997c5c5f828b9e8a30005; no license file found","Random split; tiny secondary channels","Nav/Cav cohorts are small; random development partition; absolute paths and runtime dependencies; no WT/assay semantics; not a scale comparator to local hERG","P1 multi-channel fusion adapter","https://doi.org/10.1021/acs.jcim.5c00022","https://github.com/3505675604/MultiCTox","2026-08-07"
"CToxPred2","2024","yes","semisupervised hERG, Nav1.5, and Cav1.2 classification","about two million unlabeled ChEMBL molecules used; exact labeled per-channel counts NR in this audit","channel-specific binary activity datasets including hERG-60/hERG-70 external benchmarks","fingerprints and descriptors","semisupervised random forest/self-training workflow","external channel-specific performance reported; exact table values NR in this audit","hERG-60/hERG-70 and analogous channel external sets","open-source CToxPred project; MIT indicated for predecessor/tooling","Endpoint datasets remain comparatively small","Unlabeled scale is not labeled evidence; multi-channel labeled cohorts remain modest and lack explicit WT/assay protocol semantics","P1 semisupervised comparator","https://doi.org/10.1021/acs.jcim.4c01102","https://github.com/issararab/CToxPred","2026-08-07"
