name,family,dtype,origin,leakage_role,default_model_input,fit_scope,description,required_lineage
assay_context_structured,assay_context,record,experimentally_observed,task_context_only,False,train_partition_only_for_encoding,Protocol fields known at intended prediction time; never the outcome.,intended_use_availability_and_field_level_audit
assay_description,assay_text,string,submitted,restricted_free_text,False,train_partition_only,Free text may quote endpoint values or labels and requires redaction audit.,label_like_text_scan_and_manual_policy
canonical_smiles,molecule_2d,string,deterministically_derived,safe_pre_outcome_input,True,global_deterministic,Canonical molecular representation derived without outcome access.,standardization_version_and_input_structure
clinical_outcome_summary,clinical_outcome,record,experimentally_observed,post_outcome,False,never_fit_for_preclinical_prediction,Human outcome occurring after the intended preclinical prediction time.,none
computational_prediction,stacked_prediction,numeric_or_categorical,computational_prediction,prediction_oof_or_prospective_only,False,out_of_fold_training_or_locked_prospective,"Prediction features require model, training-cutoff, and overlap lineage.",upstream_model_hash_dataset_hash_split_hash_and_prediction_timestamp
cross_endpoint_observation,multitask_context,numeric_or_categorical,experimentally_observed,conditional_cross_endpoint,False,train_partition_and_time_filtered,A distinct observed endpoint usable only if available at query time.,observation_time_precedes_query_and_no_same-assay_target_derivation
document_year,provenance,integer,externally_annotated,split_or_audit_only,False,never_fit_as_default_feature,Time axis for temporal evaluation; may proxy outcome availability.,none
label_value,outcome,numeric_or_categorical,experimentally_observed,target_or_target_derived,False,target_only,Observed or curated task label; never an input to its own task.,none
molecular_graph,molecule_graph,graph,deterministically_derived,safe_pre_outcome_input,True,global_deterministic,Atom/bond graph generated deterministically from admitted SMILES.,graph_schema_version_and_structure_hash
molecule_id,identity,string,deterministically_derived,identifier_only,False,never_fit,"Stable join, grouping, prediction, and error-analysis identifier.",none
morgan_fingerprint,molecule_2d,binary_vector,deterministically_derived,safe_pre_outcome_input,True,global_deterministic,RDKit Morgan fingerprint; radius and width are part of lineage.,rdkit_version_radius_width_and_structure_hash
p_value,outcome,numeric,deterministically_derived,target_or_target_derived,False,target_only,Molar concentration transform of the same observation.,original_value_unit_relation_temperature_if_applicable_and_formula
protein_id,identity,string,deterministically_derived,identifier_only,False,never_fit,Stable resolved protein/construct identifier.,none
protein_sequence,protein_sequence,string,submitted,safe_pre_outcome_input,True,global_deterministic,Exact construct or resolved canonical sequence; missing is not negative.,sequence_source_accession_construct_and_hash
protein_structure,protein_structure,coordinates,externally_annotated,safe_pre_outcome_input,False,global_deterministic,Experimental or predicted coordinates with method and confidence.,coordinate_source_version_chain_and_prediction_cutoff
rdkit_descriptors,molecule_descriptors,numeric_vector,deterministically_derived,safe_pre_outcome_input,True,global_deterministic,Interpretable 2D descriptors calculated from the admitted structure.,rdkit_version_and_structure_hash
source_id,provenance,category,externally_annotated,split_or_audit_only,False,never_fit_as_default_feature,"Source is retained for heterogeneity, holdout, and error audits.",none
standardized_smiles,molecule_2d,string,deterministically_derived,safe_pre_outcome_input,True,global_deterministic,Parent/state-standardized structure; state policy must be versioned.,standardization_version_and_input_structure
task_id,task_routing,string,deterministically_derived,task_context_only,False,fixed_task_definition,Routes an example to an endpoint-specific head; not a pooled label shortcut.,none
