"risk_id","domain","risk","likelihood","impact","current_status","mitigation_or_gate","owner","release_blocker"
"R001","scope","Legacy target-specific implementation may be presented as a protein-agnostic platform","high","high","planned","Separate namespaces and label legacy outputs as diagnostic baselines","integration_lead","yes"
"R002","licensing","Repository has no selected code content or model-artifact license","certain","high","requires_human_review","Rights-holder and institutional approval before public release","project_owner","yes"
"R003","source_rights","Mixed source licenses can be lost after aggregation","high","high","planned","Retain row-level curation origin and license scope; build release allowlist","data_governance","yes"
"R004","confidentiality","Internal-derived weights aggregates plots or logs may enter public artifacts","medium","critical","locally_evidenced","Keep scoped local-only roots; staged disclosure scan and data-owner signoff","data_owner","yes"
"R005","provenance","Legacy local BindingDB target exports lack recoverable monthly release ID","high","high","completed","Explicitly superseded by frozen BindingDB 202608 package; legacy exports remain excluded from platform provenance claims","data_foundation","no"
"R006","provenance","PubChem records can change or be revoked and contributor terms vary","high","high","requires_human_review","Snapshot bytes and record version; retain depositor and release only approved sources","data_governance","yes"
"R007","identity","Canonicalization may merge distinct salts stereo forms mixtures metabolites or covalent species","high","high","planned","Preserve submitted/material entity and collision/ambiguity reports","data_foundation","yes"
"R008","protein_identity","Canonical accession mapping can hide isoform construct mutation or complex differences","high","high","planned","Sequence/construct-aware entities and mapping confidence; quarantine unresolved","data_foundation","yes"
"R009","endpoint","Pooling Kd Ki IC50 and EC50 creates invalid affinity/free-energy labels","high","critical","planned","Endpoint-specific tasks and forbidden-pooling validation","scientific_lead","yes"
"R010","censoring","Exact-only labels are selected and bound substitution biases training","high","high","planned","Censoring-aware likelihood or explicit exact-only scope plus sensitivity","model_lead","yes"
"R011","duplicates","Cross-source mirrors or repeated patents leak across splits","high","critical","planned","Provenance graph and strict grouping; exact/near/no-collapse audits","data_foundation","yes"
"R012","leakage","Ligand-only split misses protein family pocket source and pretrained-model overlap","high","critical","planned","Multi-axis and double-cold split audits with fail-closed export","model_readiness","yes"
"R013","selection","Public evidence overrepresents popular targets potent series and reported positives","certain","high","planned","Concentration/attrition analysis macro averaging and narrow target-population claims","scientific_lead","yes"
"R014","missingness","Metadata-complete model rows are not representative of source universe","high","high","planned","Missingness/eligibility analysis and sensitivity; no unqualified prevalence claim","scientific_lead","yes"
"R015","hERG_claim","hERG assay prediction may be mislabeled clinical cardiotoxicity or QT risk","high","critical","locally_evidenced","Enforce claim boundary in schema reports model card and UI","scientific_lead","yes"
"R016","clinical","No record or no posted result may be encoded as negative clinical evidence","medium","critical","planned","Explicit result-status ontology; absence is never negative","data_foundation","yes"
"R017","PK","Dose route species formulation and analyte heterogeneity may be pooled as intrinsic molecular PK","high","critical","planned","Context-specific endpoints and concentration-time/study grouping","scientific_lead","yes"
"R018","external_model","Nesso mixed endpoint score may be relabeled Kd/free energy","medium","critical","requires_human_review","Evaluation-only adapter and mixed-potency label","model_lead","yes"
"R019","external_model","Boltz-2 benchmark claims may be affected by overlap and incomplete training/eval release","high","high","requires_human_review","Evaluation-only and post-cutoff/overlap-stratified comparison","model_lead","no"
"R020","external_model","AlphaFold 3 weight/output terms may conflict with product or training use","high","critical","license_blocked","Do not use weights/output until exact workflow approved by counsel","project_owner","yes"
"R021","hardware","Structure/physics production claims may be inferred from local smoke artifacts","medium","high","hardware_blocked","Require HPC job provenance convergence QC and checksums","hpc_lead","yes"
"R022","validation","Random/scaffold results may obscure weak temporal/external performance","high","high","locally_evidenced","Make difficult split primary and show all split results","model_lead","yes"
"R023","uncertainty","Internal calibration/intervals may fail under target source or temporal shift","high","high","planned","Shift-stratified calibration coverage and abstention evaluation","model_lead","yes"
"R024","statistics","Many endpoints models thresholds and subgroups inflate false discoveries","high","high","planned","Freeze hypothesis families; Holm confirmatory and BH secondary/exploratory","statistics_lead","yes"
"R025","reproducibility","Manifest DAG is stale/failing during migration","certain","critical","failed_current_check","Regenerate scopes and verify final clean staged tree offline","integration_lead","yes"
"R026","environment","Python support and lock-build versions may not reproduce identically","medium","high","requires_human_review","Document support matrix; clean installs and lock verification","software_lead","yes"
"R027","scale","A million-scale single-source ChEMBL corpus could be mistaken for comprehensive multisource clinical or regulatory coverage","high","critical","locally_evidenced","Report source assertions canonical specialized tasks and multisource or clinical coverage as separate denominators and readiness gates","integration_lead","yes"
"R028","training","Interface smoke could be called substantive model training","medium","high","not_applicable","Label smoke diagnostic; no pretrained or production-performance claims","integration_lead","yes"
"R029","external_validity","No independent harmonized multi-target or prospective lockbox","certain","critical","unavailable","Acquire/freeze external data and run blinded prospective study","scientific_lead","yes"
"R030","usability","A single composite score could erase evidence gaps and domain failures","medium","high","planned","Expose endpoint evidence uncertainty AD and abstention; no universal drug score","product_lead","yes"
"R031","multisource","Origin-separated BindingDB candidate tables could be mistaken for admitted cross-source evidence despite zero canonical observations and labels","high","critical","locally_evidenced","Keep ChEMBL mirrors excluded and Taylor rows quarantined; complete identity endpoint rights duplicate conflict and cross-source reconciliation before multisource claims","data_foundation","yes"
"R032","clinical_regulatory","Normalized ClinicalTrials.gov cohort membership and regulatory archive inventories could be mistaken for a validated molecular outcome layer","high","critical","locally_evidenced","Require reviewed intervention product SETID section arm denominator endpoint mapping and adjudication; preserve zero-label flags and keep registry approval module presence and label text out of default outcomes","data_foundation","yes"
"R033","protein_release","Normalized UniProt resolution and membership records could be admitted without resolving inactive ambiguous syntax-invalid isoform construct or homology states","high","critical","locally_evidenced","Reconcile targeted UniProtKB 2026_02 records to every source component; preserve quarantines and execute sequence-homology leakage audit before protein-input claims","data_foundation","yes"
