feature_family,physical_process,precedent_source,evidence_status,measurement_or_computation,proposed_representation,validation_target,primary_failure_mode,implementation_tier
"classical size and polarity","bulk solvation and gross transport demand","all six papers","established but noncausal alone","MW; cLogP/logD; HBD/HBA; tPSA; formal charge","retain as controls and stratification variables, never as the physics layer","incremental value and confounding control","correlation substitutes for mechanism",0
"assay and protocol state","mapping physical block to observed endpoint","Sun 2026; Poongavanam 2022; Qi 2025","required causal context","cell line; temperature; voltage protocol; pH; membrane composition; incubation time; transporter conditions","explicit context vector plus hierarchical assay effects","cross-protocol transportability and calibration","protocol heterogeneity is learned as chemistry",0
"microstate populations","solution speciation before membrane or receptor entry","Qi 2025","directly supported for tetracycline; generalization proposed","microscopic pKa; tautomer/protomer free energies; pH","population distribution with uncertainty, not a single dominant state","pH-dependent permeability and hERG potency shifts","macroscopic pKa assigned to the wrong site",1
"environment-conditioned conformer ensemble","solution-to-membrane conformational selection","Poongavanam 2022; Qi 2025","directly supported in narrow systems","multi-solvent conformer sampling; NMR/NAMFIS; explicit-solvent MD","state populations, transition rates, and ensemble moments by environment","matched linker-series permeability and solvent-response data","one minimized conformer stands in for an ensemble",1
"exposed polar surface distribution","dehydration and membrane insertion penalty","Poongavanam 2022","supported in a three-PROTAC series","solvent-accessible 3D PSA per conformer","population-weighted distribution and tail probabilities","PAMPA and passive Caco-2 permeability","mean value hides rare permeable conformers",1
"intramolecular hydrogen-bond network","polarity masking and chameleonic switching","Poongavanam 2022; Qi 2025","supported mechanistically but context dependent","IMHB occupancy; donor-acceptor persistence; competing solvent/lipid H bonds","dynamic graph states with occupancy and exchange kinetics","permeability within matched series","static IMHB count ignores solvent competition",1
"shape compactness and anisotropy","conformer-dependent insertion and diffusion","Poongavanam 2022","supported as a precedent, not a universal law","Rgyr; principal moments; asphericity; end-to-end distance","ensemble distributions and coupled shape-polarity states","permeability and exposure residuals beyond 2D baselines","single average loses multimodality",1
"membrane interfacial affinity","partition from water into headgroup region","Qi 2025","directly supported for tetracycline","interfacial PMF minimum; membrane/water partition; orientation","microstate-specific interfacial free energy and preferred orientation","PAMPA/liposome partition and permeability","favorable insertion can coexist with a high central barrier",2
"translocation free-energy barrier","crossing the low-dielectric membrane core","Qi 2025","directly supported for one compound and controls","PMF by microstate and membrane composition","barrier height, width, asymmetry, and alternate pathways with uncertainty","specific permeability and temperature dependence","one-dimensional collective variable is degenerate",2
"position-dependent diffusivity","kinetics along the membrane path","Qi 2025","directly computed","biased MD and Bayesian diffusion inference","D(z) distribution with PMF covariance","specific permeability","free-energy uncertainty dominates through exponential weighting",2
