candidate_id,candidate_name,category,version_or_revision,primary_input,primary_output,checkpoint_available,training_code_available,code_license,weights_license,training_cutoff_or_corpus,hardware_or_compute_evidence,evidence_maturity,benchmark_overlap_risk,platform_fit,decision,decision_rationale,primary_urls
M01,RoseTTAFold All-Atom,all-atom cofolding,"official main unpinned; paper weights",protein/nucleic-acid sequence plus small-molecule graph and optional covalent/metal context,3D complex plus confidence,yes,no documented end-to-end training route in reviewed repository,BSD,BSD explicitly covers referenced weights,"121800 protein-small-molecule structures in 5662 30%-sequence clusters; 112546 protein-metal complexes; 12689 covalent-modification structures","GPU inference; official setup lists about 46 GB UniRef30, 272 GB BFD, and 81 GB template data",peer-reviewed Science paper plus official repository,high for PDB-derived structure benchmarks,moderate,probable_meeting_reference_and_later_comparator,"Closest evidence-backed match to the remembered ~100k structures; permissive artifacts but structure-only and operationally heavy",https://doi.org/10.1126/science.adl2528 | https://github.com/baker-laboratory/RoseTTAFold-All-Atom
M02,AlphaFold 3,all-atom cofolding,v3.0.2,biomolecular sequences and ligand/CCD definitions with MSAs/templates,3D complex plus confidence,yes_gated,no full official training pipeline,Apache-2.0,separate gated noncommercial terms,"standard structural cutoff 2021-09-30; PoseBusters evaluation model cutoff 2019-09-30","GPU required; large reference databases; official pipeline separates CPU preprocessing and GPU inference",peer-reviewed Nature paper plus official repository,high,scientifically_high_but_operationally_restricted,noncommercial_comparator_only,"No native affinity output; parameter/output restrictions conflict with a broadly distributable core",https://doi.org/10.1038/s41586-024-07487-w | https://github.com/google-deepmind/alphafold3 | https://github.com/google-deepmind/alphafold3/blob/main/WEIGHTS_TERMS_OF_USE.md
M03,Boltz-2,structure-and-affinity foundation model,v2.2.1,protein/biomolecule definitions plus ligand SMILES/CCD and optional MSA/template/constraints,3D complex plus affinity value and binary affinity probability,yes,partial_or_forthcoming_for_Boltz-2,MIT,MIT,"PDB-derived structural training plus curated public affinity sources; exact overlap requires checkpoint-specific audit","official CLI supports GPU/CPU/TPU but warns CPU is significantly slower; default 200 sampling steps and 5 affinity samples",2025 bioRxiv preprint plus official repository,very_high_for_ChEMBL_BindingDB_and_PDB_derived_evaluations,high_for_future_affinity_comparator,preferred_later_structure_affinity_comparator,"Best reviewed open model with a native affinity head; predictions must not become labels and require post-cutoff similarity-stratified evaluation",https://doi.org/10.1101/2025.06.14.659707 | https://github.com/jwohlwend/boltz | https://github.com/jwohlwend/boltz/blob/main/docs/prediction.md
M04,Chai-1,all-atom cofolding,v0.6.1,FASTA biomolecular sequences plus ligand SMILES with optional MSAs/templates/restraints,3D complex plus confidence,yes,no complete training pipeline documented in reviewed repository,Apache-2.0,Apache-2.0,"PDB structures with 2021-era cutoff described in technical report; exact checkpoint corpus audit required","officially recommends A100/H100 80 GB or L40S 48 GB; smaller complexes reported on A10/A30/RTX4090",technical report/preprint plus official repository,high,moderate,secondary_structure_comparator,"Permissive and flexible but no affinity head and substantial GPU requirement",https://doi.org/10.1101/2024.10.10.615955 | https://github.com/chaidiscovery/chai-lab
M05,Protenix-v2,all-atom cofolding,v2.0.0 / protenix-v2,biomolecular JSON with MSA/RNA-MSA/templates,3D complex plus confidence,yes,yes,Apache-2.0,Apache-2.0,"464.44M parameters; structural cutoff 2021-09-30","GPU-oriented; official repository provides lightweight variants and distributed inference options",2026 technical report/preprint plus official repository,high,high_for_structure_comparison,preferred_open_structure_comparator,"Explicit cutoff and permissive artifacts make clean post-cutoff testing possible; no affinity head",https://github.com/bytedance/Protenix | https://github.com/bytedance/Protenix/blob/main/docs/supported_models.md
M06,OpenFold3-preview,all-atom cofolding,v0.4.1 / preview2,protein/RNA/DNA and small-molecule definitions with MSA/template options,3D complex plus confidence,yes,yes,Apache-2.0,Apache-2.0,"public training-data route including a 13M-sequence distillation dataset; checkpoint-specific cutoff audit required","GPU kernel acceleration and multi-GPU inference; memory-constrained settings documented",official research preview and repository,high,moderate,methods_and_reproducibility_comparator,"Unusually transparent training route; remains a preview and has no affinity output",https://github.com/aqlaboratory/openfold-3
M07,NeuralPLexer,protein-ligand cofolding,publication checkpoint,protein sequence plus ligand graph,3D protein-ligand complex and ensembles,yes,not fully established in reviewed release,repository-specific,CC-BY-NC-SA-4.0 for published checkpoints,"PDB/PDBbind-derived corpus described in paper; exact overlap audit required","published checkpoint approximately multi-GB and GPU-oriented",peer-reviewed Nature Machine Intelligence paper plus official repository,high,moderate,noncommercial_sensitivity_only,"Useful state-aware structure comparison but restrictive checkpoint terms and no calibrated affinity output",https://doi.org/10.1038/s42256-024-00792-z | https://github.com/zrqiao/NeuralPLexer | https://doi.org/10.5281/zenodo.10373581
M08,DiffDock-L,ligand pose generation,v1.1.3,protein structure/sequence-derived features plus ligand SMILES,ranked ligand poses plus confidence,yes,yes,MIT,MIT,"PDBbind-derived training; ESM-2 protein embeddings; exact pair and near-neighbor overlap likely","GPU recommended; lower operational burden than full cofolding but corpus-scale runs still deferred",peer-reviewed ICLR papers plus official repository,high,moderate,pose_comparator_only,"Open and practical but not an affinity predictor; must be evaluated on apo/predicted receptors and physical validity",https://github.com/gcorso/DiffDock | https://arxiv.org/abs/2210.01776
M09,ESM-2,protein sequence encoder,facebook/esm2_t33_650M_UR50D and smaller variants,amino-acid sequence,residue/sequence embeddings or masked-token scores,yes,no need to retrain for proposed use,MIT,MIT,"UR50D protein sequence corpus; model family 8M to 15B parameters","35M/150M feasible for pipeline work; 650M moderate GPU/CPU batch workload; original repository archived",peer-reviewed Science paper plus official model card,high_sequence_overlap_but_unsupervised,high,primary_frozen_protein_encoder,"Pin model revision and hashes; prove incremental value under cold-protein splits",https://doi.org/10.1126/science.ade2574 | https://github.com/facebookresearch/esm | https://huggingface.co/facebook/esm2_t33_650M_UR50D
M10,ProtT5,protein sequence encoder,Rostlab/prot_t5_xl_uniref50,amino-acid sequence,residue/sequence embeddings,yes,yes,repository_MIT_for_code,Academic-Free-License-v3.0_for_pretrained_models,"BFD and UniRef protein sequence corpora described in ProtTrans","large checkpoint; GPU helpful; frozen batched embedding possible",peer-reviewed TPAMI paper plus official repository,high_sequence_overlap_but_unsupervised,moderate,license_reviewed_sensitivity_encoder,"Useful alternative but no clear need to make it first-line and pretrained-model terms need review",https://doi.org/10.1109/TPAMI.2021.3095381 | https://github.com/agemagician/ProtTrans
