source,modality,version_or_snapshot,verified_scale,local_state,license_or_rights,decision,principal_reason
PubChem_KCNH2,hERG,2026-08-06,"4067 AIDs; 9667 SIDs in new AID 1671200",acquired,"depositor rights retained",admit_raw_only,"complete target audit; mirrors and assay modalities require reconciliation"
BindingDB_Q12809,hERG,2026-08-06,"18759 measurements; 14832 structures",acquired_quarantine,"mixed/inherited lineage not exposed by compact API",quarantine,"assay curator and row-license lineage absent"
HERGAI,hERG,pinned_Zenodo,"299927 rows",acquired,"see hERG source ledger",benchmark_only,"large but overlapping and extremely imbalanced"
PubChem_AID_720553,hERG_mutant,pinned,"342311 rows",acquired,"depositor rights retained",separate_task,"mutant biology cannot be pooled with wild type"
TDC_systemic_PK,systemic_PK,pinned_commit,"2437 rows",acquired,"underlying-source-specific",quarantine,"route dose and unit columns absent"
TDC_NCATS_OpenADMET,upstream_ADME,2026-08-06,"274168 physical rows",acquired,"mixed; per-source manifest",admit_raw_only,"valid mechanistic evidence but not systemic PK and not deduplicated"
ChEMBL37_PK_type_hits,PK_candidates,ChEMBL_37,"330261 rows",already_local,"CC BY-SA 3.0",reclassify_candidates,"semantic unit document route and dose adjudication required"
PKDB,systemic_PK,2026-08-06,"138411 advertised; 0 anonymously acquired",blocked,"authentication and rights unresolved",block,"fail closed rather than fabricate inaccessible labels"
BindingDB_full,binding_affinity,2026-08,"3234499 rows; 2481305 ligand-target keys",acquired,"mixed CC BY and inherited source terms",primary_with_lineage,"largest reproducible affinity archive; extensive ChEMBL overlap"
ChEMBL37_binding,binding_affinity,ChEMBL_37,"2117384 task rows",already_local,"CC BY-SA 3.0",primary_with_lineage,"do not add to BindingDB until record-level deduplication"
GtoPdb,binding_affinity,2026.2,"24599 interactions; 22316 quantitative",acquired,"ODbL and CC BY-SA 4.0",curated_evidence,"high-quality curated evidence with separate endpoint semantics"
BioLiP2,structure_affinity,current_2026-08-06,"68890 links",acquired,"redistribution clarity requires review",linkage_only,"structural context repeats upstream BindingDB and MOAD evidence"
Papyrus,binding_affinity,05.7_metadata,"large derivative archive",metadata_only,"CC BY-SA 4.0",delta_evaluation_only,"dominant ChEMBL component older than local ChEMBL37"
LINCS_GSE92742_GSE70138,transcriptomics,public_GEO,"1665114 instances; 591697 signatures; 1628481492 profile-gene matrix positions",metadata_and_Level2_acquired,"GEO/source terms",separate_modality,"million-scale mechanism and cellular-response evidence"
PRISM_Repurposing,cell_viability,Figshare_v4,"8506400 observed collapsed-matrix values",acquired_md5_verified,"CC BY 4.0",separate_modality,"large drug-cell response resource; treatment and phase identity required"
EPA_ToxCast,mechanistic_toxicity,invitrodb_v4.3,"more than half a billion relational records reported; 17651807605 compressed bytes",acquired_md5_sha256_gzip_verified,"Figshare release CC0; preserve EPA release lineage",raw_archive_only_pending_targeted_extraction,"complete official archive; records are heterogeneous relational entities rather than independent labels"
JUMP_cpg0016,morphological_phenomics,"gallery 8224008; metadata 016e865","115796 compounds; 1151808 wells; 8126570 sites; 58267491 TIFFs; ~1.540B cells",metadata_acquired_images_remote,"gallery CC0; metadata BSD-3-Clause",metadata_only_until_HPC,"high-value mappings acquired; 358.4 TB payload requires object storage and compute planning"
