"model_id","year","task","reported_total_or_source_size","train_size","validation_size","test_size","reported_class_balance","label_definition","assay_handling","feature_set","architecture","split_design","reported_evaluation","headline_reported_result","availability","software_or_artifact_license","reproducibility_assessment","principal_fair-comparison_risk","primary_source","retrieved_on"
"Ogura_SVM","2019","binary wild-type-or-unspecified hERG inhibition","291219","203853","not separately reported","87366","train 6923 blocker / 196930 nonblocker; test 2967 blocker / 84399 nonblocker","blocker if harmonized IC50 <=10 uM or qualifying percent inhibition >=50%; heterogeneous activity types were harmonized upstream","pooled integrated ChEMBL, PubChem/NCGC, GOSTAR, and hERGCentral records; modality is not a model input","72 NSGA-II-selected molecular descriptors plus ECFP4","SVM","predefined approximately 70/30 structure split; not a source, time, or assay-modality holdout","held-out integrated-data test","accuracy 0.984; kappa 0.733","paper and supplements available; integrated database historically web-accessible","paper CC BY 4.0; underlying GOSTAR and inherited records have separate terms","medium-low","extreme imbalance makes accuracy uninformative; source and assay signatures can cross the split; activity-type harmonization can create label noise","https://doi.org/10.1038/s41598-019-47536-3","2026-08-07"
"DeepHIT","2020","binary hERG blocker classification","14440","approximately 80% of each source before merge","approximately 10%","approximately 10%; plus external n=44","6632 blocker / 7808 nonblocker overall; external 30/14","IC50 <10 uM blocker; >=10 uM nonblocker","BindingDB, ChEMBL, three literature collections and in-house records merged after source-level splitting; assay modality not retained as a prediction stratum","995 Mordred descriptors; ECFP2 plus PubChem fingerprints; molecular graph","unanimous ensemble of descriptor DNN, fingerprint DNN, and graph GCN","80/10/10 source-level random partitions then merge; external set filtered at Tanimoto >0.7","internal test and 44-compound patch-clamp external set","external ACC 0.773; MCC 0.476; sensitivity 0.833; specificity/NPV 0.643","Bitbucket links in paper; availability should be rechecked before execution","no verified current repository license in this audit","medium-low","external n=44 is too small for stable ranking; the same set is repeatedly reused by later models; ensemble decision sacrifices specificity","https://doi.org/10.1093/bioinformatics/btaa075","2026-08-07"
"CardioTox_net","2021","binary hERG blocker classification","12620","70% base-model training","10% base validation; 10% meta training; 10% meta validation","external sets reported as 44, 41, and 839; current repo third file has 740 rows","6643 blocker / 5977 nonblocker in training corpus","IC50 <10 uM blocker; >=10 uM nonblocker","DeepHIT-derived compilation without in-house data; modality absent from model inputs","2D/3D descriptors; graph features; molecular fingerprints; SMILES and fingerprint embeddings","stepwise deep meta-ensemble of FCNN, GCNN and 1D CNN base models","random four-way partition; three small external sets with similarity checks","10-fold validation plus three external sets","meta-validation MCC 0.720 and AUC 0.930; external performance varies by prevalence","official GitHub includes data, weights and code at commit 6096ef0","no top-level license detected","medium","derivative data and benchmark reuse; paper/current-repository row-count mismatch; large dependency bundle and old environment; no legal reuse grant found","https://doi.org/10.1186/s13321-021-00541-z","2026-08-07"
"Siramshetty_consensus","2020","binary hERG inhibition","approximately 9000 training plus approximately 840 prospective","approximately 9000","scaffold-CV folds","approximately 840 prospective","not fully reported in abstract","10 uM-scale hERG liability classification","ChEMBL plus in-house high-throughput thallium-flux; prospective compounds assayed in the same in-house flux platform","RDKit and other descriptors; fingerprints; latent autoencoder descriptors; SMILES","RF, gradient boosting, DNN and RNN; consensus","scaffold cross-validation; prospective same-assay holdout","prospective experimental validation","XGBoost with RDKit descriptors was best individual approach; consensus superior to compared tools","paper and supplement available; in-house experimental set is not a fully open reconstruction target","paper publisher terms; no project software license established here","medium-low","partly proprietary/in-house labels prevent full reproduction, but same-assay prospective validation is scientifically stronger than a random database split","https://doi.org/10.1021/acs.jcim.0c00884","2026-08-07"
"Creanza_structure_SVM","2021","binary structure-based hERG classification","8337 curated IC50 entries","balanced training samples vary by threshold and repeat","none distinct","100 per repeat (50/50), repeated 100 times","balanced by construction","positive IC50 <=1 uM; negatives above one of nine inactivity thresholds from 1 to 80 uM","ChEMBL25 human direct-binding IC50; different cell lines retained but not modeled as strata","docking scores and protein-ligand interaction fingerprints from cryo-EM/homology structures","linear SVM with LASSO integration","100 repeated random balanced splits","mean and SD over 100 external subsets","maximum AUC 0.86 +/- 0.01; maximum NPV 0.81 +/- 0.01","paper and supporting structures available; GLIDE/GOLD are commercial dependencies","paper CC BY-NC-ND; commercial docking licenses required","medium-low","balanced 100-compound tests do not represent screening prevalence; repeated random splits can retain analogs; performance depends on docking software and receptor conformation","https://doi.org/10.1021/acs.jcim.1c00744","2026-08-07"
"BayeshERG","2022","binary hERG blocker classification with point-inhibition transfer learning","304045 pretraining; 14322 fine-tuning","11457 fine-tuning plus 273640 pretraining in current repo","1432 fine-tuning plus 30405 pretraining in current repo","1433 test-all; 752 test-rev in current repo; external 44/157 and later reused sets","fine-tuning 8488 positive / 5834 negative","pIC50 >=5 positive; pretraining regresses percent inhibition at 10 uM","point inhibition used only for pretraining; fine-tuning pools IC50 records from databases/literature; modality not an explicit head","molecular graph","D-MPNN with transfer learning, Monte Carlo dropout and global multihead attentive pooling","scaffold test-all plus similarity-filtered test-rev; four external sets","predictive metrics and ECE/MCE calibration","reported best or near-best external ranking; ECE 0.064 test-all and 0.096 test-rev for transferred BayeshERG","official GitHub includes splits, weights and code at commit 25e9466","code MIT; README assigns trained weights/derived compounds a CC-BY-NC family restriction while bundled filename says CC-BY-NC-SA-4.0","high for inference; medium for exact retraining","AttenhERG later identified stereochemistry/ionization duplicates that inflated some external results; benchmark family is reused widely; attention is not causal explanation","https://doi.org/10.1093/bib/bbac211","2026-08-07"
"DMPNN_moe206","2022","binary hERG blocker classification across seven benchmark datasets","up to Ogura 291219","Ogura 203853","cross-validation within smaller datasets","Ogura 87366","Ogura train/test prevalence as above","dataset-specific, generally IC50 thresholded","inherits each benchmark's pooled assay semantics","directed molecular graph plus 206 commercial MOE descriptors","D-MPNN","random and scaffold experiments on smaller sets; inherited Ogura split for largest set","multiple benchmark sets","on Ogura: ROC-AUC 0.968 +/- 0.001 and ACC 0.983 +/- 0.001; on Cai scaffold split AUC 0.922 +/- 0.015","paper and supplement available; no audited official runnable repository in this review","article CC BY-NC 3.0; MOE descriptors require commercial software","medium-low","commercial descriptors obstruct a fully open baseline; inherited benchmark labels/splits dominate apparent performance","https://doi.org/10.1039/d1ra07956e","2026-08-07"
"Ylipaa_GNN_and_baselines","2023","binary hERG toxicity classification","291219 inherited Ogura records","203853","20 repeated 10% validation and 10% internal-test subsamples","87366 nominal; 81728 RDKit-processable; external 803 after overlap removal","validation example 642 positive / 18404 negative; source corpus approximately 3.4% positive","inherited 10 uM/50% integrated label","inherits pooled IC50, EC50, ED50, Ki, Kd, and inhibition harmonization; modality not modeled","1186 Mordred descriptors; SMILES; molecular graph","RF, XGBoost, SVM, DNN, GRU-DNN, GNN","20 random subsamples on inherited train; inherited test; external CardioTox-derived test after overlap removal","internal, inherited test, and external test","GNN/XGB test ROC-AUC 0.95 and BA 0.90; external AUC 0.72-0.78 and BA 0.67-0.70","paper open; data-availability statement points to references rather than a frozen code/data release","CC BY 4.0 article; no audited model-code license","low-medium","drop from inherited test to external set shows domain shift; 5638 test molecules failed RDKit; assay-type conversion and class assignment are acknowledged limitations","https://doi.org/10.1016/j.crtox.2023.100121","2026-08-07"
"Pred_hERG_5","2024","binary, multiclass, and pIC50 regression","7833 classification; 7609 regression; paper conclusion also cites 14364 collected before task-specific curation","approximately 80%","5-fold CV within training","approximately 20%; external table labels n=840 though methods prose says 820","task-specific counts not reported in main text","binary blocker at IC50 <=10 uM; strong >=6 pIC50; moderate 5-6; nonblocker <5; exact uncensored values for regression","ChEMBL30 IC50 from SP, HEK293, and CHO assays pooled; cell/assay type analyzed but not a model head","ECFP4/FCFP4 1024/2048","LightGBM binary; RF multiclass; SVM regression; weighted consensus; SHAP/probability maps","fixed-seed stratified random 80/20","internal test, Y-randomization, applicability domain, and later ChEMBL33 external benchmark","binary test BACC 0.86, MCC 0.54, AUC 0.81; regression test R2 0.61, RMSE 0.44; external binary BACC 0.82","official GitHub currently contains notebooks but data/model directories are placeholder READMEs at commit 7e11ce7; web server reported","no top-level repository license detected","medium-low","random split can overstate scaffold generalization; external sample-size inconsistency; assay/cell pooling; exact model/data assets not present in current shallow clone","https://doi.org/10.1021/acs.chemrestox.3c00400","2026-08-07"
"AttenhERG","2024","binary hERG blocker classification","14322","11457","1432","1433; test-rev 752; external 44/157/41/740; in-house 233","8488 positive / 5834 negative overall","10 uM threshold","public databases and literature pooled; external sets include patch-clamp and thallium-flux, evaluated separately","molecular graph with atom and molecule attention","AttentiveFP-derived GNN plus entropy/MC-dropout uncertainty","predefined train/validation/test; test-strict filters scaffold similarity >0.8; external and in-house sets","internal, strict, four external, in-house, uncertainty rejection","internal AUROC 0.835, AUPRC 0.834, MCC 0.543, BAC 0.767; strict AUROC 0.818","official GitHub includes data, weights, code and environment at commit 4b6ce4d","MIT","high","same 14322-compound family and external sets as BayeshERG/CardioTox; variant and assay metadata are absent from row schema; attention explanations require experimental validation","https://doi.org/10.1186/s13321-024-00940-y","2026-08-07"
